joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.120927,-0.779902,-0.119331,-2.264700,0.053161,1.549826,0.634912
-0.241854,-0.774803,-0.238663,-2.173399,0.106322,1.528653,0.484824
-0.362781,-0.769705,-0.357994,-2.082099,0.159484,1.507479,0.334736
-0.483708,-0.764607,-0.477326,-1.990799,0.212645,1.486305,0.184648
-0.604635,-0.759508,-0.596657,-1.899498,0.265806,1.465132,0.034560
-0.725562,-0.754410,-0.715989,-1.808198,0.318967,1.443958,-0.115528
-0.846489,-0.749311,-0.835320,-1.716898,0.372129,1.422784,-0.265616
-0.967416,-0.744213,-0.954652,-1.625597,0.425290,1.401611,-0.415703
-1.088343,-0.739115,-1.073983,-1.534297,0.478451,1.380437,-0.565791
-1.209270,-0.734016,-1.193315,-1.442997,0.531612,1.359263,-0.715879
-1.330197,-0.728918,-1.312646,-1.351696,0.584774,1.338090,-0.865967
-1.451124,-0.723820,-1.431977,-1.260396,0.637935,1.316916,-1.016055
-1.572051,-0.718721,-1.551309,-1.169096,0.691096,1.295742,-1.166143
-1.692978,-0.713623,-1.670640,-1.077795,0.744257,1.274568,-1.316231
-1.813905,-0.708525,-1.789972,-0.986495,0.797419,1.253395,-1.466319
-1.934832,-0.703426,-1.909303,-0.895195,0.850580,1.232221,-1.616407
-2.055759,-0.698328,-2.028635,-0.803894,0.903741,1.211047,-1.766495
-2.176686,-0.693229,-2.147966,-0.712594,0.956902,1.189874,-1.916583
-2.297613,-0.688131,-2.267298,-0.621294,1.010064,1.168700,-2.066671
-2.418540,-0.683033,-2.386629,-0.529993,1.063225,1.147526,-2.216759
-2.323908,-0.530765,-2.387835,-0.448086,1.073138,1.173546,-2.060170
-2.229276,-0.378497,-2.389040,-0.366178,1.083051,1.199565,-1.903581
-2.134644,-0.226229,-2.390245,-0.284270,1.092963,1.225584,-1.746992
-2.040011,-0.073962,-2.391451,-0.202362,1.102876,1.251603,-1.590403
