joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.119260,-0.753861,-0.011230,-2.303592,-0.121705,1.522682,0.666172
-0.238520,-0.722722,-0.022461,-2.251184,-0.243410,1.474363,0.547344
-0.357781,-0.691583,-0.033691,-2.198776,-0.365115,1.426045,0.428515
-0.477041,-0.660444,-0.044922,-2.146369,-0.486820,1.377726,0.309687
-0.596301,-0.629305,-0.056152,-2.093961,-0.608525,1.329408,0.190859
-0.715561,-0.598166,-0.067382,-2.041553,-0.730229,1.281090,0.072031
-0.834821,-0.567027,-0.078613,-1.989145,-0.851934,1.232771,-0.046798
-0.954082,-0.535888,-0.089843,-1.936737,-0.973639,1.184453,-0.165626
-1.073342,-0.504749,-0.101073,-1.884329,-1.095344,1.136134,-0.284454
-1.192602,-0.473610,-0.112304,-1.831921,-1.217049,1.087816,-0.403282
-1.311862,-0.442471,-0.123534,-1.779514,-1.338754,1.039497,-0.522110
-1.431122,-0.411332,-0.134765,-1.727106,-1.460459,0.991179,-0.640939
-1.550382,-0.380193,-0.145995,-1.674698,-1.582164,0.942861,-0.759767
-1.669643,-0.349054,-0.157225,-1.622290,-1.703869,0.894542,-0.878595
-1.788903,-0.317915,-0.168456,-1.569882,-1.825574,0.846224,-0.997423
-1.908163,-0.286776,-0.179686,-1.517474,-1.947279,0.797905,-1.116251
-2.027423,-0.255637,-0.190917,-1.465066,-2.068983,0.749587,-1.235080
-2.146683,-0.224498,-0.202147,-1.412659,-2.190688,0.701269,-1.353908
-2.265944,-0.193359,-0.213377,-1.360251,-2.312393,0.652950,-1.472736
-2.385204,-0.162220,-0.224608,-1.307843,-2.434098,0.604632,-1.591564
-2.235363,-0.238658,-0.280812,-1.296147,-2.359250,0.619359,-1.611369
-2.085522,-0.315096,-0.337017,-1.284452,-2.284402,0.634087,-1.631174
-1.935681,-0.391534,-0.393221,-1.272756,-2.209555,0.648814,-1.650979
-1.785840,-0.467972,-0.449426,-1.261060,-2.134707,0.663541,-1.670784
-1.636000,-0.544411,-0.505630,-1.249365,-2.059859,0.678269,-1.690589
