joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.032601,-0.806958,0.097768,-2.310512,-0.006425,1.565031,0.678226
-0.065202,-0.828916,0.195536,-2.265024,-0.012849,1.559063,0.571453
-0.097804,-0.850873,0.293305,-2.219535,-0.019274,1.553094,0.464679
-0.130405,-0.872831,0.391073,-2.174047,-0.025698,1.547125,0.357905
-0.163006,-0.894789,0.488841,-2.128559,-0.032123,1.541157,0.251131
-0.195607,-0.916747,0.586609,-2.083071,-0.038547,1.535188,0.144358
-0.228208,-0.938704,0.684378,-2.037583,-0.044972,1.529219,0.037584
-0.260809,-0.960662,0.782146,-1.992094,-0.051396,1.523251,-0.069190
-0.293411,-0.982620,0.879914,-1.946606,-0.057821,1.517282,-0.175963
-0.326012,-1.004578,0.977682,-1.901118,-0.064245,1.511313,-0.282737
-0.358613,-1.026536,1.075450,-1.855630,-0.070670,1.505345,-0.389511
-0.391214,-1.048493,1.173219,-1.810142,-0.077095,1.499376,-0.496285
-0.423815,-1.070451,1.270987,-1.764653,-0.083519,1.493407,-0.603058
-0.456416,-1.092409,1.368755,-1.719165,-0.089944,1.487439,-0.709832
-0.489018,-1.114367,1.466523,-1.673677,-0.096368,1.481470,-0.816606
-0.521619,-1.136324,1.564292,-1.628189,-0.102793,1.475501,-0.923380
-0.554220,-1.158282,1.662060,-1.582701,-0.109217,1.469533,-1.030153
-0.586821,-1.180240,1.759828,-1.537212,-0.115642,1.463564,-1.136927
-0.619422,-1.202198,1.857596,-1.491724,-0.122066,1.457595,-1.243701
-0.652023,-1.224155,1.955364,-1.446236,-0.128491,1.451627,-1.350474
-0.501922,-1.112948,1.857596,-1.413924,-0.122066,1.504045,-1.243701
-0.351821,-1.001740,1.759828,-1.381612,-0.115642,1.556464,-1.136927
-0.201720,-0.890532,1.662060,-1.349301,-0.109217,1.608883,-1.030153
-0.051619,-0.779324,1.564292,-1.316989,-0.102793,1.661301,-0.923380
0.098482,-0.668117,1.466523,-1.284677,-0.096368,1.713720,-0.816606
0.248584,-0.556909,1.368755,-1.252365,-0.089944,1.766139,-0.709832
0.398685,-0.445701,1.270987,-1.220053,-0.083519,1.818557,-0.603058
0.548786,-0.334493,1.173219,-1.187742,-0.077095,1.870976,-0.496285
0.698887,-0.223285,1.075450,-1.155430,-0.070670,1.923395,-0.389511
0.848988,-0.112078,0.977682,-1.123118,-0.064245,1.975813,-0.282737
0.999089,-0.000870,0.879914,-1.090806,-0.057821,2.028232,-0.175963
1.149191,0.110338,0.782146,-1.058494,-0.051396,2.080651,-0.069190
1.299292,0.221546,0.684378,-1.026183,-0.044972,2.133069,0.037584
1.449393,0.332753,0.586609,-0.993871,-0.038547,2.185488,0.144358
1.599494,0.443961,0.488841,-0.961559,-0.032123,2.237907,0.251131
1.749595,0.555169,0.391073,-0.929247,-0.025698,2.290325,0.357905
1.899696,0.666377,0.293305,-0.896935,-0.019274,2.342744,0.464679
2.049798,0.777584,0.195536,-0.864624,-0.012849,2.395163,0.571453
2.199899,0.888792,0.097768,-0.832312,-0.006425,2.447581,0.678226
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
