joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.002720,-0.773567,-0.006326,-2.336053,-0.011714,1.566272,0.789395
0.005439,-0.762134,-0.012651,-2.316106,-0.023428,1.561543,0.793790
0.008159,-0.750700,-0.018977,-2.296158,-0.035143,1.556815,0.798185
0.010879,-0.739267,-0.025303,-2.276211,-0.046857,1.552087,0.802580
0.013598,-0.727834,-0.031628,-2.256264,-0.058571,1.547358,0.806975
0.016318,-0.716401,-0.037954,-2.236317,-0.070285,1.542630,0.811370
0.019037,-0.704967,-0.044279,-2.216370,-0.082000,1.537902,0.815764
0.021757,-0.693534,-0.050605,-2.196422,-0.093714,1.533173,0.820159
0.024477,-0.682101,-0.056931,-2.176475,-0.105428,1.528445,0.824554
0.027196,-0.670668,-0.063256,-2.156528,-0.117142,1.523717,0.828949
0.029916,-0.659234,-0.069582,-2.136581,-0.128857,1.518988,0.833344
0.032636,-0.647801,-0.075908,-2.116634,-0.140571,1.514260,0.837739
0.035355,-0.636368,-0.082233,-2.096686,-0.152285,1.509532,0.842134
0.038075,-0.624935,-0.088559,-2.076739,-0.163999,1.504803,0.846529
0.040794,-0.613501,-0.094884,-2.056792,-0.175714,1.500075,0.850924
0.043514,-0.602068,-0.101210,-2.036845,-0.187428,1.495347,0.855319
0.046234,-0.590635,-0.107536,-2.016898,-0.199142,1.490618,0.859714
0.048953,-0.579202,-0.113861,-1.996950,-0.210856,1.485890,0.864109
0.051673,-0.567768,-0.120187,-1.977003,-0.222570,1.481162,0.868504
0.054393,-0.556335,-0.126513,-1.957056,-0.234285,1.476433,0.872899
0.066767,-0.563303,-0.138230,-1.940888,-0.244767,1.470177,0.870548
0.079141,-0.570270,-0.149948,-1.924720,-0.255249,1.463921,0.868197
0.091515,-0.577238,-0.161666,-1.908552,-0.265731,1.457664,0.865847
0.103889,-0.584206,-0.173383,-1.892385,-0.276214,1.451408,0.863496
0.116263,-0.591173,-0.185101,-1.876217,-0.286696,1.445152,0.861146
0.128638,-0.598141,-0.196819,-1.860049,-0.297178,1.438896,0.858795
0.141012,-0.605109,-0.208537,-1.843881,-0.307660,1.432639,0.856445
0.153386,-0.612077,-0.220254,-1.827713,-0.318142,1.426383,0.854094
0.165760,-0.619044,-0.231972,-1.811545,-0.328625,1.420127,0.851744
0.178134,-0.626012,-0.243690,-1.795377,-0.339107,1.413870,0.849393
0.190508,-0.632980,-0.255407,-1.779210,-0.349589,1.407614,0.847043
0.202883,-0.639947,-0.267125,-1.763042,-0.360071,1.401358,0.844692
0.215257,-0.646915,-0.278843,-1.746874,-0.370553,1.395102,0.842342
0.227631,-0.653883,-0.290561,-1.730706,-0.381036,1.388845,0.839991
0.240005,-0.660850,-0.302278,-1.714538,-0.391518,1.382589,0.837641
0.252379,-0.667818,-0.313996,-1.698370,-0.402000,1.376333,0.835290
0.264753,-0.674786,-0.325714,-1.682202,-0.412482,1.370077,0.832939
0.277128,-0.681753,-0.337431,-1.666035,-0.422964,1.363820,0.830589
0.289502,-0.688721,-0.349149,-1.649867,-0.433447,1.357564,0.828238
0.301876,-0.695689,-0.360867,-1.633699,-0.443929,1.351308,0.825888
0.285891,-0.701259,-0.375259,-1.629025,-0.443652,1.336033,0.823438
0.269906,-0.706829,-0.389652,-1.624351,-0.443375,1.320759,0.820989
0.253921,-0.712399,-0.404044,-1.619678,-0.443098,1.305485,0.818539
0.237936,-0.717970,-0.418436,-1.615004,-0.442821,1.290210,0.816089
0.221951,-0.723540,-0.432829,-1.610330,-0.442544,1.274936,0.813640
0.205966,-0.729110,-0.447221,-1.605657,-0.442266,1.259661,0.811190
0.189981,-0.734680,-0.461614,-1.600983,-0.441989,1.244387,0.808741
0.173996,-0.740250,-0.476006,-1.596309,-0.441712,1.229113,0.806291
0.158011,-0.745821,-0.490398,-1.591636,-0.441435,1.213838,0.803841
0.142026,-0.751391,-0.504791,-1.586962,-0.441158,1.198564,0.801392
0.126041,-0.756961,-0.519183,-1.582288,-0.440881,1.183289,0.798942
0.110056,-0.762531,-0.533576,-1.577614,-0.440604,1.168015,0.796492
0.094071,-0.768101,-0.547968,-1.572941,-0.440327,1.152741,0.794043
0.078086,-0.773671,-0.562361,-1.568267,-0.440050,1.137466,0.791593
0.062101,-0.779242,-0.576753,-1.563593,-0.439773,1.122192,0.789144
0.046116,-0.784812,-0.591145,-1.558920,-0.439496,1.106918,0.786694
0.030131,-0.790382,-0.605538,-1.554246,-0.439219,1.091643,0.784244
0.014146,-0.795952,-0.619930,-1.549572,-0.438941,1.076369,0.781795
-0.001839,-0.801522,-0.634323,-1.544898,-0.438664,1.061094,0.779345
-0.017824,-0.807093,-0.648715,-1.540225,-0.438387,1.045820,0.776896
-0.033696,-0.804808,-0.651986,-1.537086,-0.448953,1.028587,0.785178
-0.049569,-0.802523,-0.655257,-1.533948,-0.459518,1.011354,0.793460
-0.065442,-0.800239,-0.658528,-1.530810,-0.470083,0.994120,0.801742
-0.081315,-0.797954,-0.661799,-1.527671,-0.480649,0.976887,0.810024
-0.097187,-0.795670,-0.665070,-1.524533,-0.491214,0.959654,0.818306
-0.113060,-0.793385,-0.668341,-1.521394,-0.501779,0.942421,0.826589
-0.128933,-0.791101,-0.671612,-1.518256,-0.512345,0.925188,0.834871
-0.144805,-0.788816,-0.674883,-1.515118,-0.522910,0.907954,0.843153
-0.160678,-0.786531,-0.678154,-1.511979,-0.533476,0.890721,0.851435
-0.176551,-0.784247,-0.681425,-1.508841,-0.544041,0.873488,0.859717
-0.192424,-0.781962,-0.684696,-1.505702,-0.554606,0.856255,0.867999
-0.208296,-0.779678,-0.687967,-1.502564,-0.565172,0.839022,0.876281
-0.224169,-0.777393,-0.691238,-1.499426,-0.575737,0.821788,0.884564
-0.240042,-0.775109,-0.694509,-1.496287,-0.586302,0.804555,0.892846
-0.255915,-0.772824,-0.697780,-1.493149,-0.596868,0.787322,0.901128
-0.271787,-0.770540,-0.701051,-1.490011,-0.607433,0.770089,0.909410
-0.287660,-0.768255,-0.704322,-1.486872,-0.617998,0.752856,0.917692
-0.303533,-0.765970,-0.707593,-1.483734,-0.628564,0.735622,0.925974
-0.319405,-0.763686,-0.710864,-1.480595,-0.639129,0.718389,0.934257
-0.335278,-0.761401,-0.714135,-1.477457,-0.649695,0.701156,0.942539
-0.344829,-0.749996,-0.727803,-1.468001,-0.648736,0.689210,0.931873
-0.354379,-0.738591,-0.741472,-1.458546,-0.647778,0.677264,0.921207
-0.363930,-0.727186,-0.755140,-1.449090,-0.646819,0.665319,0.910541
-0.373481,-0.715781,-0.768809,-1.439634,-0.645861,0.653373,0.899875
-0.383031,-0.704375,-0.782478,-1.430179,-0.644902,0.641427,0.889209
-0.392582,-0.692970,-0.796146,-1.420723,-0.643944,0.629481,0.878543
-0.402132,-0.681565,-0.809815,-1.411267,-0.642985,0.617535,0.867877
-0.411683,-0.670160,-0.823484,-1.401812,-0.642027,0.605590,0.857211
-0.421234,-0.658755,-0.837152,-1.392356,-0.641068,0.593644,0.846546
-0.430784,-0.647350,-0.850821,-1.382900,-0.640110,0.581698,0.835880
-0.440335,-0.635944,-0.864490,-1.373445,-0.639151,0.569752,0.825214
-0.449886,-0.624539,-0.878158,-1.363989,-0.638193,0.557807,0.814548
-0.459436,-0.613134,-0.891827,-1.354533,-0.637234,0.545861,0.803882
-0.468987,-0.601729,-0.905496,-1.345078,-0.636276,0.533915,0.793216
-0.478537,-0.590324,-0.919164,-1.335622,-0.635317,0.521969,0.782550
-0.488088,-0.578919,-0.932833,-1.326166,-0.634359,0.510023,0.771884
-0.497639,-0.567513,-0.946502,-1.316711,-0.633400,0.498078,0.761218
-0.507189,-0.556108,-0.960170,-1.307255,-0.632442,0.486132,0.750552
-0.516740,-0.544703,-0.973839,-1.297799,-0.631483,0.474186,0.739887
-0.526290,-0.533298,-0.987507,-1.288344,-0.630525,0.462240,0.729221
-0.518488,-0.518834,-0.985452,-1.294024,-0.627632,0.442790,0.737074
-0.510686,-0.504371,-0.983396,-1.299704,-0.624739,0.423339,0.744928
-0.502884,-0.489908,-0.981341,-1.305384,-0.621846,0.403889,0.752781
-0.495082,-0.475444,-0.979285,-1.311064,-0.618953,0.384439,0.760635
-0.487280,-0.460981,-0.977230,-1.316744,-0.616060,0.364988,0.768488
-0.479478,-0.446517,-0.975174,-1.322424,-0.613167,0.345538,0.776342
-0.471676,-0.432054,-0.973119,-1.328105,-0.610274,0.326088,0.784195
-0.463874,-0.417590,-0.971063,-1.333785,-0.607381,0.306637,0.792049
-0.456072,-0.403127,-0.969008,-1.339465,-0.604488,0.287187,0.799902
-0.448269,-0.388664,-0.966952,-1.345145,-0.601596,0.267737,0.807756
-0.440467,-0.374200,-0.964897,-1.350825,-0.598703,0.248286,0.815609
-0.432665,-0.359737,-0.962841,-1.356505,-0.595810,0.228836,0.823463
-0.424863,-0.345273,-0.960785,-1.362185,-0.592917,0.209386,0.831316
-0.417061,-0.330810,-0.958730,-1.367866,-0.590024,0.189935,0.839170
-0.409259,-0.316346,-0.956674,-1.373546,-0.587131,0.170485,0.847024
-0.401457,-0.301883,-0.954619,-1.379226,-0.584238,0.151035,0.854877
-0.393655,-0.287419,-0.952563,-1.384906,-0.581345,0.131584,0.862731
-0.385853,-0.272956,-0.950508,-1.390586,-0.578452,0.112134,0.870584
-0.378051,-0.258493,-0.948452,-1.396266,-0.575559,0.092683,0.878438
-0.370249,-0.244029,-0.946397,-1.401946,-0.572666,0.073233,0.886291
-0.357359,-0.239387,-0.942361,-1.384635,-0.560189,0.079777,0.893554
-0.344469,-0.234745,-0.938325,-1.367324,-0.547712,0.086322,0.900816
-0.331579,-0.230103,-0.934290,-1.350013,-0.535234,0.092866,0.908078
-0.318689,-0.225461,-0.930254,-1.332702,-0.522757,0.099410,0.915341
-0.305799,-0.220819,-0.926218,-1.315391,-0.510280,0.105954,0.922603
-0.292909,-0.216177,-0.922183,-1.298080,-0.497802,0.112498,0.929865
-0.280019,-0.211535,-0.918147,-1.280768,-0.485325,0.119043,0.937128
-0.267129,-0.206893,-0.914111,-1.263457,-0.472847,0.125587,0.944390
-0.254239,-0.202251,-0.910076,-1.246146,-0.460370,0.132131,0.951652
-0.241349,-0.197609,-0.906040,-1.228835,-0.447893,0.138675,0.958915
-0.228459,-0.192967,-0.902004,-1.211524,-0.435415,0.145220,0.966177
