joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.137474,-0.684923,-0.050210,-2.321515,0.101255,1.558407,0.635864
0.274947,-0.584845,-0.100420,-2.287029,0.202510,1.545814,0.486729
0.412421,-0.484768,-0.150630,-2.252544,0.303765,1.533221,0.337593
0.549894,-0.384691,-0.200840,-2.218059,0.405020,1.520627,0.188458
0.687368,-0.284613,-0.251050,-2.183573,0.506275,1.508034,0.039322
0.824841,-0.184536,-0.301260,-2.149088,0.607530,1.495441,-0.109814
0.962315,-0.084458,-0.351470,-2.114603,0.708785,1.482848,-0.258949
1.099788,0.015619,-0.401680,-2.080118,0.810040,1.470255,-0.408085
1.237262,0.115696,-0.451890,-2.045632,0.911295,1.457662,-0.557221
1.374735,0.215774,-0.502100,-2.011147,1.012549,1.445068,-0.706356
1.512209,0.315851,-0.552310,-1.976662,1.113804,1.432475,-0.855492
1.649682,0.415928,-0.602520,-1.942176,1.215059,1.419882,-1.004628
1.787156,0.516006,-0.652730,-1.907691,1.316314,1.407289,-1.153763
1.924629,0.616083,-0.702940,-1.873206,1.417569,1.394696,-1.302899
2.062103,0.716160,-0.753150,-1.838720,1.518824,1.382103,-1.452034
2.199576,0.816238,-0.803360,-1.804235,1.620079,1.369509,-1.601170
2.337050,0.916315,-0.853570,-1.769750,1.721334,1.356916,-1.750306
2.474523,1.016393,-0.903780,-1.735264,1.822589,1.344323,-1.899441
2.611997,1.116470,-0.953990,-1.700779,1.923844,1.331730,-2.048577
2.749470,1.216547,-1.004200,-1.666294,2.025099,1.319137,-2.197713
2.729497,1.205720,-0.953990,-1.622979,1.923844,1.378180,-2.048577
2.709523,1.194893,-0.903780,-1.579664,1.822589,1.437223,-1.899441
2.689550,1.184065,-0.853570,-1.536350,1.721334,1.496266,-1.750306
2.669576,1.173238,-0.803360,-1.493035,1.620079,1.555309,-1.601170
2.649603,1.162410,-0.753150,-1.449720,1.518824,1.614353,-1.452034
2.629629,1.151583,-0.702940,-1.406406,1.417569,1.673396,-1.302899
2.609656,1.140756,-0.652730,-1.363091,1.316314,1.732439,-1.153763
2.589682,1.129928,-0.602520,-1.319776,1.215059,1.791482,-1.004628
2.569709,1.119101,-0.552310,-1.276462,1.113804,1.850525,-0.855492
2.549735,1.108274,-0.502100,-1.233147,1.012549,1.909568,-0.706356
2.529762,1.097446,-0.451890,-1.189832,0.911295,1.968612,-0.557221
2.509788,1.086619,-0.401680,-1.146518,0.810040,2.027655,-0.408085
2.489815,1.075792,-0.351470,-1.103203,0.708785,2.086698,-0.258949
2.469841,1.064964,-0.301260,-1.059888,0.607530,2.145741,-0.109814
2.449867,1.054137,-0.251050,-1.016573,0.506275,2.204784,0.039322
2.429894,1.043309,-0.200840,-0.973259,0.405020,2.263827,0.188458
2.409920,1.032482,-0.150630,-0.929944,0.303765,2.322871,0.337593
2.389947,1.021655,-0.100420,-0.886629,0.202510,2.381914,0.486729
2.369973,1.010827,-0.050210,-0.843315,0.101255,2.440957,0.635864
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
