joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.033424,-0.699782,0.025851,-2.346272,0.014359,1.540969,0.855874
0.066848,-0.614565,0.051701,-2.336545,0.028719,1.510939,0.926747
0.100272,-0.529347,0.077552,-2.326817,0.043078,1.480908,0.997621
0.133696,-0.444129,0.103402,-2.317090,0.057437,1.450877,1.068494
0.167120,-0.358911,0.129253,-2.307362,0.071796,1.420846,1.139368
0.200543,-0.273694,0.155103,-2.297635,0.086156,1.390816,1.210241
0.233967,-0.188476,0.180954,-2.287907,0.100515,1.360785,1.281115
0.267391,-0.103258,0.206804,-2.278180,0.114874,1.330754,1.351989
0.300815,-0.018040,0.232655,-2.268452,0.129233,1.300724,1.422862
0.334239,0.067177,0.258505,-2.258725,0.143593,1.270693,1.493736
0.367663,0.152395,0.284356,-2.248997,0.157952,1.240662,1.564609
0.401087,0.237613,0.310206,-2.239270,0.172311,1.210631,1.635483
0.434511,0.322831,0.336057,-2.229542,0.186671,1.180601,1.706356
0.467935,0.408048,0.361907,-2.219815,0.201030,1.150570,1.777230
0.501359,0.493266,0.387758,-2.210087,0.215389,1.120539,1.848104
0.534783,0.578484,0.413609,-2.200360,0.229748,1.090509,1.918977
0.568206,0.663702,0.439459,-2.190632,0.244108,1.060478,1.989851
0.601630,0.748919,0.465310,-2.180905,0.258467,1.030447,2.060724
0.635054,0.834137,0.491160,-2.171177,0.272826,1.000416,2.131598
0.668478,0.919355,0.517011,-2.161450,0.287186,0.970386,2.202471
0.752554,0.923387,0.491160,-2.093377,0.272826,1.046866,2.131598
0.836630,0.927419,0.465310,-2.025305,0.258467,1.123347,2.060724
0.920706,0.931452,0.439459,-1.957232,0.244108,1.199828,1.989851
1.004783,0.935484,0.413609,-1.889160,0.229748,1.276309,1.918977
1.088859,0.939516,0.387758,-1.821087,0.215389,1.352789,1.848104
1.172935,0.943548,0.361907,-1.753015,0.201030,1.429270,1.777230
1.257011,0.947581,0.336057,-1.684942,0.186671,1.505751,1.706356
1.341087,0.951613,0.310206,-1.616870,0.172311,1.582231,1.635483
1.425163,0.955645,0.284356,-1.548797,0.157952,1.658712,1.564609
1.509239,0.959677,0.258505,-1.480725,0.143593,1.735193,1.493736
1.593315,0.963710,0.232655,-1.412652,0.129233,1.811674,1.422862
1.677391,0.967742,0.206804,-1.344580,0.114874,1.888154,1.351989
1.761467,0.971774,0.180954,-1.276507,0.100515,1.964635,1.281115
1.845543,0.975806,0.155103,-1.208435,0.086156,2.041116,1.210241
1.929619,0.979839,0.129253,-1.140362,0.071796,2.117596,1.139368
2.013696,0.983871,0.103402,-1.072290,0.057437,2.194077,1.068494
2.097772,0.987903,0.077552,-1.004217,0.043078,2.270558,0.997621
2.181848,0.991935,0.051701,-0.936145,0.028719,2.347039,0.926747
2.265924,0.995968,0.025851,-0.868073,0.014359,2.423519,0.855874
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
