joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.067162,-0.690947,0.015674,-2.276276,-0.111018,1.505961,0.793948
-0.134325,-0.596894,0.031348,-2.196551,-0.222036,1.440922,0.802896
-0.201487,-0.502840,0.047022,-2.116827,-0.333055,1.375883,0.811844
-0.268649,-0.408787,0.062696,-2.037103,-0.444073,1.310844,0.820793
-0.335812,-0.314734,0.078370,-1.957379,-0.555091,1.245806,0.829741
-0.402974,-0.220681,0.094044,-1.877654,-0.666109,1.180767,0.838689
-0.470136,-0.126627,0.109718,-1.797930,-0.777128,1.115728,0.847637
-0.537299,-0.032574,0.125392,-1.718206,-0.888146,1.050689,0.856585
-0.604461,0.061479,0.141066,-1.638482,-0.999164,0.985650,0.865533
-0.671623,0.155532,0.156740,-1.558757,-1.110182,0.920611,0.874481
-0.738786,0.249586,0.172414,-1.479033,-1.221201,0.855572,0.883430
-0.805948,0.343639,0.188088,-1.399309,-1.332219,0.790533,0.892378
-0.873111,0.437692,0.203762,-1.319585,-1.443237,0.725494,0.901326
-0.940273,0.531745,0.219436,-1.239860,-1.554255,0.660455,0.910274
-1.007435,0.625798,0.235110,-1.160136,-1.665274,0.595417,0.919222
-1.074598,0.719852,0.250784,-1.080412,-1.776292,0.530378,0.928170
-1.141760,0.813905,0.266458,-1.000688,-1.887310,0.465339,0.937118
-1.208922,0.907958,0.282132,-0.920963,-1.998328,0.400300,0.946066
-1.276085,1.002011,0.297806,-0.841239,-2.109347,0.335261,0.955015
-1.343247,1.096065,0.313480,-0.761515,-2.220365,0.270222,0.963963
-1.342284,0.987277,0.377203,-0.749656,-2.131910,0.255455,0.944062
-1.341321,0.878489,0.440926,-0.737796,-2.043455,0.240688,0.924161
-1.340358,0.769701,0.504650,-0.725937,-1.955000,0.225920,0.904260
-1.339395,0.660913,0.568373,-0.714078,-1.866545,0.211153,0.884360
-1.338432,0.552126,0.632096,-0.702219,-1.778090,0.196386,0.864459
-1.337468,0.443338,0.695819,-0.690360,-1.689635,0.181619,0.844558
-1.336505,0.334550,0.759542,-0.678500,-1.601180,0.166851,0.824657
-1.335542,0.225762,0.823265,-0.666641,-1.512725,0.152084,0.804757
-1.334579,0.116975,0.886988,-0.654782,-1.424270,0.137317,0.784856
-1.333616,0.008187,0.950711,-0.642923,-1.335815,0.122550,0.764955
-1.332653,-0.100601,1.014434,-0.631064,-1.247360,0.107782,0.745054
-1.331690,-0.209389,1.078157,-0.619204,-1.158905,0.093015,0.725154
-1.330727,-0.318177,1.141880,-0.607345,-1.070450,0.078248,0.705253
-1.329764,-0.426964,1.205603,-0.595486,-0.981994,0.063480,0.685352
-1.328801,-0.535752,1.269326,-0.583627,-0.893539,0.048713,0.665451
-1.327838,-0.644540,1.333049,-0.571768,-0.805084,0.033946,0.645551
-1.326875,-0.753328,1.396772,-0.559908,-0.716629,0.019179,0.625650
-1.325912,-0.862116,1.460495,-0.548049,-0.628174,0.004411,0.605749
-1.324949,-0.970903,1.524218,-0.536190,-0.539719,-0.010356,0.585848
-1.323985,-1.079691,1.587941,-0.524331,-0.451264,-0.025123,0.565948
-1.317081,-1.039873,1.587292,-0.512556,-0.472929,-0.029996,0.590809
-1.310177,-1.000055,1.586643,-0.500782,-0.494593,-0.034869,0.615671
-1.303272,-0.960237,1.585994,-0.489007,-0.516257,-0.039742,0.640532
-1.296368,-0.920419,1.585345,-0.477233,-0.537922,-0.044615,0.665394
-1.289463,-0.880601,1.584696,-0.465458,-0.559586,-0.049488,0.690255
-1.282559,-0.840783,1.584047,-0.453684,-0.581250,-0.054361,0.715117
-1.275654,-0.800964,1.583398,-0.441909,-0.602915,-0.059234,0.739978
-1.268750,-0.761146,1.582749,-0.430134,-0.624579,-0.064107,0.764840
-1.261845,-0.721328,1.582100,-0.418360,-0.646243,-0.068980,0.789701
-1.254941,-0.681510,1.581451,-0.406585,-0.667908,-0.073853,0.814563
-1.248036,-0.641692,1.580802,-0.394811,-0.689572,-0.078726,0.839424
-1.241132,-0.601874,1.580152,-0.383036,-0.711236,-0.083599,0.864286
-1.234227,-0.562056,1.579503,-0.371262,-0.732901,-0.088472,0.889147
-1.227323,-0.522238,1.578854,-0.359487,-0.754565,-0.093345,0.914009
-1.220418,-0.482420,1.578205,-0.347713,-0.776229,-0.098218,0.938870
-1.213514,-0.442602,1.577556,-0.335938,-0.797894,-0.103091,0.963732
-1.206609,-0.402784,1.576907,-0.324163,-0.819558,-0.107964,0.988593
-1.199705,-0.362965,1.576258,-0.312389,-0.841222,-0.112837,1.013455
-1.192801,-0.323147,1.575609,-0.300614,-0.862887,-0.117710,1.038316
-1.185896,-0.283329,1.574960,-0.288840,-0.884551,-0.122583,1.063178
-1.132606,-0.297835,1.583651,-0.348495,-0.755609,0.016631,0.939434
-1.079316,-0.312341,1.592342,-0.408151,-0.626666,0.155844,0.815689
-1.026025,-0.326846,1.601033,-0.467806,-0.497724,0.295058,0.691945
-0.972735,-0.341352,1.609724,-0.527461,-0.368781,0.434271,0.568201
-0.919445,-0.355858,1.618415,-0.587117,-0.239838,0.573485,0.444456
-0.866155,-0.370363,1.627105,-0.646772,-0.110896,0.712698,0.320712
-0.812864,-0.384869,1.635796,-0.706428,0.018047,0.851912,0.196968
-0.759574,-0.399375,1.644487,-0.766083,0.146989,0.991125,0.073224
-0.706284,-0.413880,1.653178,-0.825738,0.275932,1.130339,-0.050521
-0.652994,-0.428386,1.661869,-0.885394,0.404874,1.269552,-0.174265
-0.599704,-0.442892,1.670560,-0.945049,0.533817,1.408766,-0.298009
-0.546413,-0.457397,1.679251,-1.004705,0.662759,1.547979,-0.421754
-0.493123,-0.471903,1.687942,-1.064360,0.791702,1.687193,-0.545498
-0.439833,-0.486409,1.696633,-1.124015,0.920644,1.826406,-0.669242
-0.386543,-0.500914,1.705324,-1.183671,1.049587,1.965620,-0.792986
-0.333252,-0.515420,1.714015,-1.243326,1.178529,2.104834,-0.916731
-0.279962,-0.529925,1.722706,-1.302982,1.307472,2.244047,-1.040475
-0.226672,-0.544431,1.731397,-1.362637,1.436414,2.383261,-1.164219
-0.173382,-0.558937,1.740088,-1.422292,1.565357,2.522474,-1.287964
-0.120091,-0.573442,1.748779,-1.481948,1.694299,2.661688,-1.411708
-0.194882,-0.623638,1.687746,-1.546989,1.702257,2.611023,-1.334586
-0.269672,-0.673833,1.626713,-1.612031,1.710215,2.560359,-1.257465
-0.344462,-0.724028,1.565681,-1.677073,1.718173,2.509695,-1.180343
-0.419252,-0.774223,1.504648,-1.742115,1.726131,2.459030,-1.103222
-0.494042,-0.824418,1.443615,-1.807156,1.734089,2.408366,-1.026101
-0.568832,-0.874613,1.382583,-1.872198,1.742047,2.357702,-0.948979
-0.643622,-0.924808,1.321550,-1.937240,1.750005,2.307037,-0.871858
-0.718412,-0.975003,1.260517,-2.002281,1.757963,2.256373,-0.794736
-0.793202,-1.025198,1.199485,-2.067323,1.765921,2.205709,-0.717615
-0.867992,-1.075393,1.138452,-2.132365,1.773879,2.155044,-0.640493
-0.942782,-1.125589,1.077419,-2.197406,1.781837,2.104380,-0.563372
-1.017572,-1.175784,1.016387,-2.262448,1.789795,2.053716,-0.486251
-1.092362,-1.225979,0.955354,-2.327490,1.797754,2.003051,-0.409129
-1.167152,-1.276174,0.894321,-2.392531,1.805712,1.952387,-0.332008
-1.241942,-1.326369,0.833289,-2.457573,1.813670,1.901722,-0.254886
-1.316732,-1.376564,0.772256,-2.522615,1.821628,1.851058,-0.177765
-1.391522,-1.426759,0.711223,-2.587656,1.829586,1.800394,-0.100643
-1.466312,-1.476954,0.650191,-2.652698,1.837544,1.749729,-0.023522
-1.541102,-1.527149,0.589158,-2.717740,1.845502,1.699065,0.053599
-1.615892,-1.577345,0.528125,-2.782781,1.853460,1.648401,0.130721
-1.459689,-1.521866,0.530659,-2.655934,1.776533,1.662128,0.165172
-1.303486,-1.466388,0.533193,-2.529086,1.699606,1.675856,0.199622
-1.147283,-1.410910,0.535727,-2.402239,1.622679,1.689583,0.234073
-0.991080,-1.355432,0.538261,-2.275392,1.545752,1.703311,0.268524
-0.834877,-1.299954,0.540795,-2.148544,1.468825,1.717038,0.302975
-0.678673,-1.244476,0.543329,-2.021697,1.391898,1.730766,0.337425
-0.522470,-1.188998,0.545863,-1.894850,1.314971,1.744493,0.371876
-0.366267,-1.133520,0.548396,-1.768002,1.238044,1.758221,0.406327
-0.210064,-1.078042,0.550930,-1.641155,1.161117,1.771948,0.440778
-0.053861,-1.022563,0.553464,-1.514307,1.084190,1.785676,0.475228
0.102342,-0.967085,0.555998,-1.387460,1.007263,1.799403,0.509679
0.258545,-0.911607,0.558532,-1.260613,0.930336,1.813131,0.544130
0.414749,-0.856129,0.561066,-1.133765,0.853409,1.826858,0.578581
0.570952,-0.800651,0.563600,-1.006918,0.776482,1.840586,0.613031
0.727155,-0.745173,0.566134,-0.880070,0.699555,1.854313,0.647482
0.883358,-0.689695,0.568668,-0.753223,0.622628,1.868041,0.681933
1.039561,-0.634217,0.571201,-0.626376,0.545701,1.881768,0.716384
1.195764,-0.578739,0.573735,-0.499528,0.468774,1.895496,0.750834
1.351968,-0.523260,0.576269,-0.372681,0.391847,1.909223,0.785285
1.508171,-0.467782,0.578803,-0.245833,0.314920,1.922951,0.819736
1.460159,-0.426238,0.621115,-0.328812,0.371834,1.967919,0.873708
1.412147,-0.384694,0.663427,-0.411790,0.428748,2.012888,0.927680
1.364135,-0.343150,0.705739,-0.494768,0.485662,2.057856,0.981652
1.316123,-0.301606,0.748051,-0.577746,0.542576,2.102825,1.035624
1.268111,-0.260061,0.790362,-0.660724,0.599489,2.147793,1.089596
1.220099,-0.218517,0.832674,-0.743702,0.656403,2.192762,1.143568
1.172087,-0.176973,0.874986,-0.826680,0.713317,2.237730,1.197540
1.124076,-0.135429,0.917298,-0.909658,0.770231,2.282699,1.251513
1.076064,-0.093885,0.959610,-0.992636,0.827145,2.327667,1.305485
1.028052,-0.052341,1.001922,-1.075614,0.884059,2.372636,1.359457
0.980040,-0.010796,1.044234,-1.158592,0.940973,2.417604,1.413429
0.932028,0.030748,1.086546,-1.241570,0.997886,2.462573,1.467401
0.884016,0.072292,1.128857,-1.324548,1.054800,2.507542,1.521373
0.836004,0.113836,1.171169,-1.407526,1.111714,2.552510,1.575345
0.787992,0.155380,1.213481,-1.490504,1.168628,2.597479,1.629317
0.739980,0.196925,1.255793,-1.573482,1.225542,2.642447,1.683289
0.691968,0.238469,1.298105,-1.656460,1.282456,2.687416,1.737261
0.643957,0.280013,1.340417,-1.739438,1.339370,2.732384,1.791234
0.595945,0.321557,1.382729,-1.822416,1.396283,2.777353,1.845206
0.547933,0.363101,1.425041,-1.905394,1.453197,2.822321,1.899178
0.564813,0.322294,1.306253,-1.756294,1.388572,2.754137,1.927668
0.581692,0.281487,1.187466,-1.607194,1.323947,2.685952,1.956159
0.598572,0.240681,1.068678,-1.458094,1.259322,2.617768,1.984649
0.615452,0.199874,0.949891,-1.308994,1.194696,2.549583,2.013140
0.632332,0.159067,0.831103,-1.159894,1.130071,2.481399,2.041630
0.649212,0.118260,0.712316,-1.010794,1.065446,2.413214,2.070121
0.666092,0.077453,0.593529,-0.861694,1.000821,2.345030,2.098612
0.682972,0.036646,0.474741,-0.712594,0.936196,2.276845,2.127102
0.699851,-0.004161,0.355954,-0.563494,0.871571,2.208661,2.155593
0.716731,-0.044968,0.237166,-0.414394,0.806945,2.140477,2.184083
0.733611,-0.085775,0.118379,-0.265294,0.742320,2.072292,2.212574
0.750491,-0.126582,-0.000409,-0.116194,0.677695,2.004108,2.241064
0.767371,-0.167389,-0.119196,0.032906,0.613070,1.935923,2.269555
0.784251,-0.208196,-0.237984,0.182006,0.548445,1.867739,2.298045
0.801130,-0.249002,-0.356771,0.331106,0.483819,1.799554,2.326536
0.818010,-0.289809,-0.475558,0.480206,0.419194,1.731370,2.355027
0.834890,-0.330616,-0.594346,0.629307,0.354569,1.663185,2.383517
0.851770,-0.371423,-0.713133,0.778407,0.289944,1.595001,2.412008
0.868650,-0.412230,-0.831921,0.927507,0.225319,1.526816,2.440498
0.885530,-0.453037,-0.950708,1.076607,0.160694,1.458632,2.468989
0.769654,-0.401657,-0.997962,1.023837,0.025786,1.411282,2.376947
0.653778,-0.350276,-1.045215,0.971066,-0.109122,1.363931,2.284906
0.537902,-0.298896,-1.092469,0.918296,-0.244030,1.316581,2.192865
0.422026,-0.247516,-1.139723,0.865526,-0.378938,1.269231,2.100824
