joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.009351,-0.716195,0.033460,-2.347426,0.039216,1.579450,0.661847
-0.018701,-0.647390,0.066920,-2.338852,0.078431,1.587901,0.538695
-0.028052,-0.578585,0.100379,-2.330278,0.117647,1.596351,0.415542
-0.037403,-0.509780,0.133839,-2.321704,0.156862,1.604801,0.292389
-0.046753,-0.440974,0.167299,-2.313130,0.196078,1.613251,0.169237
-0.056104,-0.372169,0.200759,-2.304557,0.235293,1.621702,0.046084
-0.065455,-0.303364,0.234219,-2.295983,0.274509,1.630152,-0.077069
-0.074805,-0.234559,0.267678,-2.287409,0.313724,1.638602,-0.200221
-0.084156,-0.165754,0.301138,-2.278835,0.352940,1.647053,-0.323374
-0.093507,-0.096949,0.334598,-2.270261,0.392155,1.655503,-0.446527
-0.102857,-0.028144,0.368058,-2.261687,0.431371,1.663953,-0.569679
-0.112208,0.040661,0.401518,-2.253113,0.470586,1.672404,-0.692832
-0.121559,0.109466,0.434977,-2.244539,0.509802,1.680854,-0.815984
-0.130909,0.178272,0.468437,-2.235965,0.549017,1.689304,-0.939137
-0.140260,0.247077,0.501897,-2.227392,0.588233,1.697754,-1.062290
-0.149611,0.315882,0.535357,-2.218818,0.627448,1.706205,-1.185442
-0.158961,0.384687,0.568817,-2.210244,0.666664,1.714655,-1.308595
-0.168312,0.453492,0.602276,-2.201670,0.705879,1.723105,-1.431748
-0.177663,0.522297,0.635736,-2.193096,0.745095,1.731556,-1.554900
-0.187013,0.591102,0.669196,-2.184522,0.784310,1.740006,-1.678053
-0.093721,0.568597,0.711274,-2.171462,0.727820,1.789666,-1.639119
-0.000429,0.546091,0.753351,-2.158403,0.671329,1.839326,-1.600185
0.092864,0.523586,0.795429,-2.145343,0.614838,1.888985,-1.561251
0.186156,0.501080,0.837507,-2.132283,0.558348,1.938645,-1.522317
0.279449,0.478574,0.879584,-2.119224,0.501857,1.988305,-1.483383
0.372741,0.456069,0.921662,-2.106164,0.445367,2.037965,-1.444448
0.466034,0.433563,0.963739,-2.093104,0.388876,2.087625,-1.405514
0.559326,0.411058,1.005817,-2.080044,0.332385,2.137285,-1.366580
0.652618,0.388552,1.047895,-2.066985,0.275895,2.186945,-1.327646
0.745911,0.366046,1.089972,-2.053925,0.219404,2.236604,-1.288712
0.839203,0.343541,1.132050,-2.040865,0.162913,2.286264,-1.249778
0.932496,0.321035,1.174128,-2.027806,0.106423,2.335924,-1.210844
1.025788,0.298530,1.216205,-2.014746,0.049932,2.385584,-1.171910
1.119080,0.276024,1.258283,-2.001686,-0.006559,2.435244,-1.132976
1.212373,0.253518,1.300361,-1.988627,-0.063049,2.484904,-1.094042
1.305665,0.231013,1.342438,-1.975567,-0.119540,2.534563,-1.055107
1.398958,0.208507,1.384516,-1.962507,-0.176031,2.584223,-1.016173
1.492250,0.186002,1.426594,-1.949447,-0.232521,2.633883,-0.977239
1.585542,0.163496,1.468671,-1.936388,-0.289012,2.683543,-0.938305
1.678835,0.140991,1.510749,-1.923328,-0.345502,2.733203,-0.899371
1.712393,0.183941,1.435212,-1.867162,-0.328227,2.721543,-0.815153
1.745951,0.226892,1.359674,-1.810995,-0.310952,2.709882,-0.730934
1.779510,0.269842,1.284137,-1.754829,-0.293677,2.698222,-0.646715
1.813068,0.312792,1.208599,-1.698662,-0.276402,2.686562,-0.562497
1.846626,0.355743,1.133062,-1.642496,-0.259127,2.674902,-0.478278
1.880184,0.398693,1.057524,-1.586330,-0.241852,2.663242,-0.394060
1.913743,0.441644,0.981987,-1.530163,-0.224577,2.651582,-0.309841
1.947301,0.484594,0.906449,-1.473997,-0.207301,2.639922,-0.225623
1.980859,0.527545,0.830912,-1.417830,-0.190026,2.628262,-0.141404
2.014417,0.570495,0.755374,-1.361664,-0.172751,2.616601,-0.057186
2.047976,0.613446,0.679837,-1.305498,-0.155476,2.604941,0.027033
2.081534,0.656396,0.604300,-1.249331,-0.138201,2.593281,0.111252
2.115092,0.699347,0.528762,-1.193165,-0.120926,2.581621,0.195470
2.148650,0.742297,0.453225,-1.136998,-0.103651,2.569961,0.279689
2.182209,0.785248,0.377687,-1.080832,-0.086376,2.558301,0.363907
2.215767,0.828198,0.302150,-1.024666,-0.069100,2.546641,0.448126
2.249325,0.871149,0.226612,-0.968499,-0.051825,2.534980,0.532344
2.282883,0.914099,0.151075,-0.912333,-0.034550,2.523320,0.616563
2.316442,0.957050,0.075537,-0.856166,-0.017275,2.511660,0.700781
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
