joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.067259,-0.800194,0.045849,-2.240118,0.003144,1.508135,0.805073
0.134518,-0.815389,0.091699,-2.124236,0.006287,1.445270,0.825146
0.201778,-0.830583,0.137548,-2.008354,0.009431,1.382405,0.845219
0.269037,-0.845778,0.183398,-1.892472,0.012574,1.319540,0.865292
0.336296,-0.860972,0.229247,-1.776590,0.015718,1.256675,0.885364
0.403555,-0.876167,0.275096,-1.660708,0.018862,1.193810,0.905437
0.470815,-0.891361,0.320946,-1.544826,0.022005,1.130944,0.925510
0.538074,-0.906555,0.366795,-1.428944,0.025149,1.068079,0.945583
0.605333,-0.921750,0.412645,-1.313062,0.028292,1.005214,0.965656
0.672592,-0.936944,0.458494,-1.197180,0.031436,0.942349,0.985729
0.739852,-0.952139,0.504344,-1.081298,0.034579,0.879484,1.005802
0.807111,-0.967333,0.550193,-0.965416,0.037723,0.816619,1.025875
0.874370,-0.982528,0.596042,-0.849534,0.040867,0.753754,1.045947
0.941629,-0.997722,0.641892,-0.733652,0.044010,0.690889,1.066020
1.008889,-1.012916,0.687741,-0.617770,0.047154,0.628024,1.086093
1.076148,-1.028111,0.733591,-0.501888,0.050297,0.565159,1.106166
1.143407,-1.043305,0.779440,-0.386006,0.053441,0.502294,1.126239
1.210666,-1.058500,0.825289,-0.270123,0.056585,0.439429,1.146312
1.277926,-1.073694,0.871139,-0.154241,0.059728,0.376564,1.166385
1.345185,-1.088889,0.916988,-0.038359,0.062872,0.313699,1.186458
1.391230,-0.993167,0.874968,-0.073261,0.059991,0.413884,1.168061
1.437274,-0.897446,0.832948,-0.108162,0.057110,0.514069,1.149665
1.483319,-0.801724,0.790928,-0.143064,0.054229,0.614254,1.131268
1.529364,-0.706003,0.748908,-0.177965,0.051348,0.714439,1.112872
1.575408,-0.610282,0.706888,-0.212867,0.048467,0.814625,1.094475
1.621453,-0.514560,0.664867,-0.247768,0.045586,0.914810,1.076079
1.667498,-0.418839,0.622847,-0.282670,0.042704,1.014995,1.057683
1.713543,-0.323118,0.580827,-0.317571,0.039823,1.115180,1.039286
1.759587,-0.227396,0.538807,-0.352473,0.036942,1.215366,1.020890
1.805632,-0.131675,0.496787,-0.387374,0.034061,1.315551,1.002493
1.851677,-0.035953,0.454767,-0.422276,0.031180,1.415736,0.984097
1.897721,0.059768,0.412747,-0.457177,0.028299,1.515921,0.965701
1.943766,0.155489,0.370727,-0.492079,0.025418,1.616107,0.947304
1.989811,0.251211,0.328706,-0.526980,0.022537,1.716292,0.928908
2.035856,0.346932,0.286686,-0.561881,0.019656,1.816477,0.910511
2.081900,0.442653,0.244666,-0.596783,0.016775,1.916662,0.892115
2.127945,0.538375,0.202646,-0.631684,0.013894,2.016847,0.873718
2.173990,0.634096,0.160626,-0.666586,0.011013,2.117033,0.855322
2.220034,0.729818,0.118606,-0.701487,0.008132,2.217218,0.836926
2.266079,0.825539,0.076586,-0.736389,0.005251,2.317403,0.818529
2.270275,0.834262,0.072756,-0.739569,0.004988,2.326533,0.816853
2.274471,0.842985,0.068927,-0.742750,0.004726,2.335663,0.815176
2.278667,0.851708,0.065098,-0.745931,0.004463,2.344793,0.813500
2.282863,0.860431,0.061268,-0.749111,0.004201,2.353922,0.811823
2.287059,0.869154,0.057439,-0.752292,0.003938,2.363052,0.810147
2.291255,0.877877,0.053610,-0.755472,0.003676,2.372182,0.808470
2.295451,0.886600,0.049781,-0.758653,0.003413,2.381312,0.806794
2.299647,0.895323,0.045951,-0.761833,0.003151,2.390442,0.805118
2.303843,0.904046,0.042122,-0.765014,0.002888,2.399572,0.803441
2.308040,0.912769,0.038293,-0.768194,0.002625,2.408702,0.801765
2.312236,0.921493,0.034464,-0.771375,0.002363,2.417831,0.800088
2.316432,0.930216,0.030634,-0.774556,0.002100,2.426961,0.798412
2.320628,0.938939,0.026805,-0.777736,0.001838,2.436091,0.796735
2.324824,0.947662,0.022976,-0.780917,0.001575,2.445221,0.795059
2.329020,0.956385,0.019146,-0.784097,0.001313,2.454351,0.793382
2.333216,0.965108,0.015317,-0.787278,0.001050,2.463481,0.791706
2.337412,0.973831,0.011488,-0.790458,0.000788,2.472610,0.790029
2.341608,0.982554,0.007659,-0.793639,0.000525,2.481740,0.788353
2.345804,0.991277,0.003829,-0.796819,0.000263,2.490870,0.786676
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
