joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.080726,-0.864348,-0.114729,-2.177407,-0.092013,1.597706,0.860236
-0.161451,-0.943695,-0.229458,-1.998813,-0.184026,1.624413,0.935472
-0.242177,-1.023043,-0.344187,-1.820220,-0.276039,1.651119,1.010709
-0.322903,-1.102390,-0.458916,-1.641627,-0.368052,1.677825,1.085945
-0.403628,-1.181738,-0.573645,-1.463034,-0.460065,1.704532,1.161181
-0.484354,-1.261085,-0.688373,-1.284440,-0.552078,1.731238,1.236417
-0.565079,-1.340433,-0.803102,-1.105847,-0.644091,1.757944,1.311654
-0.645805,-1.419780,-0.917831,-0.927254,-0.736104,1.784651,1.386890
-0.726531,-1.499128,-1.032560,-0.748660,-0.828117,1.811357,1.462126
-0.807256,-1.578475,-1.147289,-0.570067,-0.920131,1.838063,1.537362
-0.887982,-1.657823,-1.262018,-0.391474,-1.012144,1.864770,1.612598
-0.968708,-1.737171,-1.376747,-0.212881,-1.104157,1.891476,1.687835
-1.049433,-1.816518,-1.491476,-0.034287,-1.196170,1.918182,1.763071
-1.130159,-1.895866,-1.606205,0.144306,-1.288183,1.944889,1.838307
-1.210885,-1.975213,-1.720934,0.322899,-1.380196,1.971595,1.913543
-1.291610,-2.054561,-1.835663,0.501493,-1.472209,1.998301,1.988779
-1.372336,-2.133908,-1.950391,0.680086,-1.564222,2.025008,2.064016
-1.453062,-2.213256,-2.065120,0.858679,-1.656235,2.051714,2.139252
