joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.117500,-0.695750,0.000000,-2.278200,0.000000,1.617450,0.785000
0.235000,-0.606500,0.000000,-2.200400,0.000000,1.663900,0.785000
0.352500,-0.517250,0.000000,-2.122600,0.000000,1.710350,0.785000
0.470000,-0.428000,0.000000,-2.044800,0.000000,1.756800,0.785000
0.587500,-0.338750,0.000000,-1.967000,0.000000,1.803250,0.785000
0.705000,-0.249500,0.000000,-1.889200,0.000000,1.849700,0.785000
0.822500,-0.160250,0.000000,-1.811400,0.000000,1.896150,0.785000
0.940000,-0.071000,0.000000,-1.733600,0.000000,1.942600,0.785000
1.057500,0.018250,0.000000,-1.655800,0.000000,1.989050,0.785000
1.175000,0.107500,0.000000,-1.578000,0.000000,2.035500,0.785000
1.292500,0.196750,0.000000,-1.500200,0.000000,2.081950,0.785000
1.410000,0.286000,0.000000,-1.422400,0.000000,2.128400,0.785000
1.527500,0.375250,0.000000,-1.344600,0.000000,2.174850,0.785000
1.645000,0.464500,0.000000,-1.266800,0.000000,2.221300,0.785000
1.762500,0.553750,0.000000,-1.189000,0.000000,2.267750,0.785000
1.880000,0.643000,0.000000,-1.111200,0.000000,2.314200,0.785000
1.997500,0.732250,0.000000,-1.033400,0.000000,2.360650,0.785000
2.115000,0.821500,0.000000,-0.955600,0.000000,2.407100,0.785000
2.232500,0.910750,0.000000,-0.877800,0.000000,2.453550,0.785000
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
