joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.016609,-0.725632,-0.054500,-2.252787,0.057399,1.513289,0.809530
0.033218,-0.666265,-0.109001,-2.149575,0.114798,1.455579,0.834059
0.049826,-0.606897,-0.163501,-2.046362,0.172196,1.397868,0.858589
0.066435,-0.547529,-0.218001,-1.943150,0.229595,1.340158,0.883118
0.083044,-0.488161,-0.272502,-1.839938,0.286994,1.282447,0.907648
0.099653,-0.428794,-0.327002,-1.736725,0.344393,1.224737,0.932177
0.116262,-0.369426,-0.381502,-1.633513,0.401792,1.167026,0.956707
0.132871,-0.310058,-0.436003,-1.530300,0.459190,1.109315,0.981236
0.149479,-0.250691,-0.490503,-1.427088,0.516589,1.051605,1.005766
0.166088,-0.191323,-0.545003,-1.323875,0.573988,0.993894,1.030295
0.182697,-0.131955,-0.599503,-1.220663,0.631387,0.936184,1.054825
0.199306,-0.072587,-0.654004,-1.117450,0.688786,0.878473,1.079354
0.215915,-0.013220,-0.708504,-1.014238,0.746184,0.820763,1.103884
0.232523,0.046148,-0.763004,-0.911025,0.803583,0.763052,1.128413
0.249132,0.105516,-0.817505,-0.807813,0.860982,0.705341,1.152943
0.265741,0.164883,-0.872005,-0.704600,0.918381,0.647631,1.177472
0.282350,0.224251,-0.926505,-0.601388,0.975780,0.589920,1.202002
0.298959,0.283619,-0.981006,-0.498175,1.033178,0.532210,1.226531
0.315567,0.342987,-1.035506,-0.394963,1.090577,0.474499,1.251061
0.332176,0.402354,-1.090006,-0.291750,1.147976,0.416789,1.275590
0.381222,0.424550,-1.020323,-0.364852,1.192740,0.495792,1.333097
0.430267,0.446746,-0.950639,-0.437954,1.237504,0.574796,1.390604
0.479312,0.468941,-0.880955,-0.511057,1.282268,0.653800,1.448111
0.528357,0.491137,-0.811272,-0.584159,1.327032,0.732804,1.505618
0.577403,0.513333,-0.741588,-0.657261,1.371796,0.811808,1.563126
0.626448,0.535528,-0.671904,-0.730363,1.416560,0.890812,1.620633
0.675493,0.557724,-0.602221,-0.803465,1.461324,0.969816,1.678140
0.724539,0.579920,-0.532537,-0.876567,1.506088,1.048820,1.735647
0.773584,0.602116,-0.462853,-0.949669,1.550852,1.127823,1.793154
0.822629,0.624311,-0.393170,-1.022771,1.595616,1.206827,1.850661
0.871674,0.646507,-0.323486,-1.095873,1.640380,1.285831,1.908168
0.920720,0.668703,-0.253802,-1.168975,1.685144,1.364835,1.965675
0.969765,0.690898,-0.184119,-1.242077,1.729908,1.443839,2.023182
1.018810,0.713094,-0.114435,-1.315180,1.774672,1.522843,2.080689
1.067855,0.735290,-0.044752,-1.388282,1.819436,1.601847,2.138196
1.116901,0.757485,0.024932,-1.461384,1.864200,1.680851,2.195704
1.165946,0.779681,0.094616,-1.534486,1.908964,1.759854,2.253211
1.214991,0.801877,0.164299,-1.607588,1.953728,1.838858,2.310718
1.264037,0.824072,0.233983,-1.680690,1.998492,1.917862,2.368225
1.313082,0.846268,0.303667,-1.753792,2.043256,1.996866,2.425732
1.364928,0.853955,0.288483,-1.706103,1.941094,2.022023,2.343695
1.416774,0.861641,0.273300,-1.658413,1.838931,2.047179,2.261659
1.468620,0.869328,0.258117,-1.610723,1.736768,2.072336,2.179622
1.520465,0.877015,0.242933,-1.563034,1.634605,2.097493,2.097586
1.572311,0.884701,0.227750,-1.515344,1.532442,2.122650,2.015549
1.624157,0.892388,0.212567,-1.467654,1.430279,2.147806,1.933512
1.676003,0.900074,0.197383,-1.419965,1.328117,2.172963,1.851476
1.727849,0.907761,0.182200,-1.372275,1.225954,2.198120,1.769439
1.779695,0.915447,0.167017,-1.324586,1.123791,2.223276,1.687403
1.831541,0.923134,0.151833,-1.276896,1.021628,2.248433,1.605366
1.883387,0.930821,0.136650,-1.229206,0.919465,2.273590,1.523329
1.935233,0.938507,0.121467,-1.181517,0.817303,2.298746,1.441293
1.987079,0.946194,0.106283,-1.133827,0.715140,2.323903,1.359256
2.038924,0.953880,0.091100,-1.086138,0.612977,2.349060,1.277220
2.090770,0.961567,0.075917,-1.038448,0.510814,2.374217,1.195183
2.142616,0.969254,0.060733,-0.990758,0.408651,2.399373,1.113146
2.194462,0.976940,0.045550,-0.943069,0.306488,2.424530,1.031110
2.246308,0.984627,0.030367,-0.895379,0.204326,2.449687,0.949073
2.298154,0.992313,0.015183,-0.847690,0.102163,2.474843,0.867037
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
