joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.065006,-0.677871,0.024512,-2.325942,-0.046571,1.549943,0.854508
0.130012,-0.570743,0.049024,-2.295883,-0.093142,1.528887,0.924017
0.195018,-0.463614,0.073537,-2.265825,-0.139713,1.507830,0.993525
0.260024,-0.356486,0.098049,-2.235767,-0.186284,1.486774,1.063034
0.325029,-0.249357,0.122561,-2.205708,-0.232855,1.465717,1.132542
0.390035,-0.142229,0.147073,-2.175650,-0.279426,1.444661,1.202050
0.455041,-0.035100,0.171586,-2.145591,-0.325997,1.423604,1.271559
0.520047,0.072029,0.196098,-2.115533,-0.372568,1.402547,1.341067
0.585053,0.179157,0.220610,-2.085475,-0.419139,1.381491,1.410576
0.650059,0.286286,0.245122,-2.055416,-0.465710,1.360434,1.480084
0.715065,0.393414,0.269634,-2.025358,-0.512281,1.339378,1.549593
0.780071,0.500543,0.294147,-1.995300,-0.558852,1.318321,1.619101
0.845077,0.607672,0.318659,-1.965241,-0.605423,1.297265,1.688609
0.910083,0.714800,0.343171,-1.935183,-0.651994,1.276208,1.758118
0.975088,0.821929,0.367683,-1.905125,-0.698565,1.255152,1.827626
1.040094,0.929057,0.392195,-1.875066,-0.745136,1.234095,1.897135
1.105100,1.036186,0.416708,-1.845008,-0.791707,1.213038,1.966643
1.170106,1.143314,0.441220,-1.814950,-0.838278,1.191982,2.036151
1.235112,1.250443,0.465732,-1.784891,-0.884849,1.170925,2.105660
1.300118,1.357572,0.490244,-1.754833,-0.931420,1.149869,2.175168
1.352612,1.339693,0.465732,-1.707091,-0.884849,1.217375,2.105660
1.405106,1.321814,0.441220,-1.659350,-0.838278,1.284882,2.036151
1.457600,1.303936,0.416708,-1.611608,-0.791707,1.352388,1.966643
1.510094,1.286057,0.392195,-1.563866,-0.745136,1.419895,1.897135
1.562588,1.268179,0.367683,-1.516125,-0.698565,1.487402,1.827626
1.615083,1.250300,0.343171,-1.468383,-0.651994,1.554908,1.758118
1.667577,1.232422,0.318659,-1.420641,-0.605423,1.622415,1.688609
1.720071,1.214543,0.294147,-1.372900,-0.558852,1.689921,1.619101
1.772565,1.196664,0.269634,-1.325158,-0.512281,1.757428,1.549593
1.825059,1.178786,0.245122,-1.277416,-0.465710,1.824934,1.480084
1.877553,1.160907,0.220610,-1.229675,-0.419139,1.892441,1.410576
1.930047,1.143029,0.196098,-1.181933,-0.372568,1.959948,1.341067
1.982541,1.125150,0.171586,-1.134192,-0.325997,2.027454,1.271559
2.035035,1.107271,0.147073,-1.086450,-0.279426,2.094961,1.202050
2.087529,1.089393,0.122561,-1.038708,-0.232855,2.162467,1.132542
2.140024,1.071514,0.098049,-0.990967,-0.186284,2.229974,1.063034
2.192518,1.053636,0.073537,-0.943225,-0.139713,2.297480,0.993525
2.245012,1.035757,0.049024,-0.895483,-0.093142,2.364987,0.924017
2.297506,1.017879,0.024512,-0.847742,-0.046571,2.432493,0.854508
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
