joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.069911,-0.837825,0.005935,-2.273098,0.025854,1.526807,0.698728
-0.139822,-0.890650,0.011871,-2.190196,0.051708,1.482615,0.612456
-0.209733,-0.943476,0.017806,-2.107294,0.077562,1.438422,0.526184
-0.279644,-0.996301,0.023741,-2.024392,0.103417,1.394229,0.439912
-0.349556,-1.049126,0.029676,-1.941490,0.129271,1.350037,0.353641
-0.419467,-1.101951,0.035612,-1.858588,0.155125,1.305844,0.267369
-0.489378,-1.154776,0.041547,-1.775686,0.180979,1.261651,0.181097
-0.559289,-1.207602,0.047482,-1.692784,0.206833,1.217459,0.094825
-0.629200,-1.260427,0.053417,-1.609882,0.232687,1.173266,0.008553
-0.699111,-1.313252,0.059353,-1.526980,0.258541,1.129073,-0.077719
-0.769022,-1.366077,0.065288,-1.444077,0.284396,1.084880,-0.163991
-0.838933,-1.418902,0.071223,-1.361175,0.310250,1.040688,-0.250263
-0.908844,-1.471727,0.077158,-1.278273,0.336104,0.996495,-0.336535
-0.978756,-1.524553,0.083094,-1.195371,0.361958,0.952302,-0.422806
-1.048667,-1.577378,0.089029,-1.112469,0.387812,0.908110,-0.509078
-1.118578,-1.630203,0.094964,-1.029567,0.413666,0.863917,-0.595350
-1.188489,-1.683028,0.100899,-0.946665,0.439520,0.819724,-0.681622
-1.258400,-1.735853,0.106835,-0.863763,0.465375,0.775532,-0.767894
-1.328311,-1.788679,0.112770,-0.780861,0.491229,0.731339,-0.854166
-1.398222,-1.841504,0.118705,-0.697959,0.517083,0.687146,-0.940438
-1.320701,-1.782735,0.116250,-0.700070,0.506389,0.724640,-0.904752
-1.243179,-1.723966,0.113795,-0.702180,0.495694,0.762134,-0.869066
-1.165657,-1.665198,0.111340,-0.704290,0.485000,0.799628,-0.833380
-1.088136,-1.606429,0.108885,-0.706401,0.474305,0.837122,-0.797694
-1.010614,-1.547661,0.106430,-0.708511,0.463611,0.874616,-0.762008
-0.933093,-1.488892,0.103975,-0.710622,0.452916,0.912109,-0.726322
-0.855571,-1.430123,0.101520,-0.712732,0.442222,0.949603,-0.690637
-0.778049,-1.371355,0.099065,-0.714843,0.431528,0.987097,-0.654951
-0.700528,-1.312586,0.096609,-0.716953,0.420833,1.024591,-0.619265
-0.623006,-1.253817,0.094154,-0.719063,0.410139,1.062085,-0.583579
-0.545485,-1.195049,0.091699,-0.721174,0.399444,1.099579,-0.547893
-0.467963,-1.136280,0.089244,-0.723284,0.388750,1.137073,-0.512207
-0.390442,-1.077512,0.086789,-0.725395,0.378055,1.174566,-0.476521
-0.312920,-1.018743,0.084334,-0.727505,0.367361,1.212060,-0.440835
-0.235398,-0.959974,0.081879,-0.729616,0.356667,1.249554,-0.405149
-0.157877,-0.901206,0.079424,-0.731726,0.345972,1.287048,-0.369463
-0.080355,-0.842437,0.076969,-0.733836,0.335278,1.324542,-0.333778
-0.002834,-0.783668,0.074514,-0.735947,0.324583,1.362036,-0.298092
0.074688,-0.724900,0.072059,-0.738057,0.313889,1.399530,-0.262406
0.152209,-0.666131,0.069603,-0.740168,0.303194,1.437023,-0.226720
0.262099,-0.582825,0.066123,-0.743159,0.288035,1.490172,-0.176134
0.371989,-0.499518,0.062643,-0.746151,0.272875,1.543321,-0.125548
0.481878,-0.416212,0.059163,-0.749143,0.257715,1.596470,-0.074962
0.591768,-0.332905,0.055683,-0.752134,0.242556,1.649619,-0.024376
0.701657,-0.249598,0.052203,-0.755126,0.227396,1.702768,0.026210
0.811547,-0.166292,0.048722,-0.758117,0.212236,1.755916,0.076796
0.921436,-0.082985,0.045242,-0.761109,0.197076,1.809065,0.127382
1.031326,0.000321,0.041762,-0.764101,0.181917,1.862214,0.177968
1.141215,0.083628,0.038282,-0.767092,0.166757,1.915363,0.228554
1.251105,0.166934,0.034802,-0.770084,0.151597,1.968512,0.279140
1.360994,0.250241,0.031322,-0.773075,0.136437,2.021661,0.329726
1.470884,0.333548,0.027841,-0.776067,0.121278,2.074809,0.380312
1.580773,0.416854,0.024361,-0.779059,0.106118,2.127958,0.430898
1.690663,0.500161,0.020881,-0.782050,0.090958,2.181107,0.481484
1.800552,0.583467,0.017401,-0.785042,0.075799,2.234256,0.532070
1.910442,0.666774,0.013921,-0.788034,0.060639,2.287405,0.582656
2.020331,0.750080,0.010441,-0.791025,0.045479,2.340554,0.633242
2.130221,0.833387,0.006960,-0.794017,0.030319,2.393702,0.683828
2.240110,0.916693,0.003480,-0.797008,0.015160,2.446851,0.734414
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
