joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.055811,-0.706137,0.008950,-2.345193,0.110166,1.565034,0.730714
0.111622,-0.627274,0.017901,-2.334387,0.220332,1.559069,0.676428
0.167433,-0.548411,0.026851,-2.323580,0.330499,1.553103,0.622142
0.223244,-0.469548,0.035802,-2.312774,0.440665,1.547138,0.567856
0.279055,-0.390684,0.044752,-2.301967,0.550831,1.541172,0.513571
0.334867,-0.311821,0.053703,-2.291160,0.660997,1.535207,0.459285
0.390678,-0.232958,0.062653,-2.280354,0.771164,1.529241,0.404999
0.446489,-0.154095,0.071604,-2.269547,0.881330,1.523276,0.350713
0.502300,-0.075232,0.080554,-2.258741,0.991496,1.517310,0.296427
0.558111,0.003631,0.089505,-2.247934,1.101662,1.511345,0.242141
0.613922,0.082494,0.098455,-2.237127,1.211829,1.505379,0.187855
0.669733,0.161357,0.107406,-2.226321,1.321995,1.499414,0.133569
0.725544,0.240220,0.116356,-2.215514,1.432161,1.493448,0.079283
0.781355,0.319083,0.125307,-2.204708,1.542327,1.487483,0.024997
0.837166,0.397947,0.134257,-2.193901,1.652494,1.481517,-0.029288
0.892978,0.476810,0.143207,-2.183094,1.762660,1.475552,-0.083574
0.948789,0.555673,0.152158,-2.172288,1.872826,1.469586,-0.137860
1.004600,0.634536,0.161108,-2.161481,1.982992,1.463621,-0.192146
1.060411,0.713399,0.170059,-2.150675,2.093159,1.457655,-0.246432
1.116222,0.792262,0.179009,-2.139868,2.203325,1.451690,-0.300718
1.175931,0.802316,0.170346,-2.075025,2.096695,1.502422,-0.248175
1.235639,0.812369,0.161683,-2.010182,1.990066,1.553155,-0.195631
1.295348,0.822422,0.153020,-1.945340,1.883436,1.603888,-0.143088
1.355056,0.832476,0.144357,-1.880497,1.776806,1.654621,-0.090545
1.414765,0.842529,0.135694,-1.815654,1.670177,1.705354,-0.038002
1.474473,0.852583,0.127030,-1.750811,1.563547,1.756087,0.014541
1.534182,0.862636,0.118367,-1.685969,1.456917,1.806820,0.067084
1.593890,0.872690,0.109704,-1.621126,1.350288,1.857553,0.119628
1.653599,0.882743,0.101041,-1.556283,1.243658,1.908285,0.172171
1.713307,0.892797,0.092378,-1.491440,1.137028,1.959018,0.224714
1.773016,0.902850,0.083715,-1.426598,1.030399,2.009751,0.277257
1.832724,0.912904,0.075052,-1.361755,0.923769,2.060484,0.329800
1.892433,0.922957,0.066389,-1.296912,0.817139,2.111217,0.382344
1.952142,0.933010,0.057725,-1.232069,0.710510,2.161950,0.434887
2.011850,0.943064,0.049062,-1.167227,0.603880,2.212683,0.487430
2.071559,0.953117,0.040399,-1.102384,0.497250,2.263415,0.539973
2.131267,0.963171,0.031736,-1.037541,0.390621,2.314148,0.592516
2.190976,0.973224,0.023073,-0.972698,0.283991,2.364881,0.645060
2.250684,0.983278,0.014410,-0.907856,0.177361,2.415614,0.697603
2.310393,0.993331,0.005747,-0.843013,0.070732,2.466347,0.750146
2.312373,0.993665,0.005459,-0.840862,0.067195,2.468030,0.751889
2.314354,0.993998,0.005172,-0.838712,0.063659,2.469712,0.753631
2.316334,0.994331,0.004885,-0.836561,0.060122,2.471395,0.755374
2.318314,0.994665,0.004597,-0.834410,0.056585,2.473077,0.757117
2.320295,0.994998,0.004310,-0.832260,0.053049,2.474760,0.758860
2.322275,0.995332,0.004023,-0.830109,0.049512,2.476443,0.760602
2.324255,0.995665,0.003735,-0.827958,0.045976,2.478125,0.762345
2.326236,0.995999,0.003448,-0.825808,0.042439,2.479808,0.764088
2.328216,0.996332,0.003161,-0.823657,0.038902,2.481491,0.765830
2.330196,0.996666,0.002873,-0.821506,0.035366,2.483173,0.767573
2.332177,0.996999,0.002586,-0.819356,0.031829,2.484856,0.769316
2.334157,0.997332,0.002299,-0.817205,0.028293,2.486539,0.771058
2.336137,0.997666,0.002011,-0.815054,0.024756,2.488221,0.772801
2.338118,0.997999,0.001724,-0.812904,0.021220,2.489904,0.774544
2.340098,0.998333,0.001437,-0.810753,0.017683,2.491587,0.776287
2.342078,0.998666,0.001149,-0.808603,0.014146,2.493269,0.778029
2.344059,0.999000,0.000862,-0.806452,0.010610,2.494952,0.779772
2.346039,0.999333,0.000575,-0.804301,0.007073,2.496635,0.781515
2.348020,0.999667,0.000287,-0.802151,0.003537,2.498317,0.783257
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
