joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.106541,-0.704074,0.000000,-2.285456,0.000000,1.613118,0.785000
0.213082,-0.623148,0.000000,-2.214912,0.000000,1.655235,0.785000
0.319623,-0.542222,0.000000,-2.144369,0.000000,1.697353,0.785000
0.426164,-0.461297,0.000000,-2.073825,0.000000,1.739471,0.785000
0.532705,-0.380371,0.000000,-2.003281,0.000000,1.781589,0.785000
0.639246,-0.299445,0.000000,-1.932737,0.000000,1.823706,0.785000
0.745787,-0.218519,0.000000,-1.862194,0.000000,1.865824,0.785000
0.852328,-0.137593,0.000000,-1.791650,0.000000,1.907942,0.785000
0.958869,-0.056667,0.000000,-1.721106,0.000000,1.950059,0.785000
1.065410,0.024258,0.000000,-1.650562,0.000000,1.992177,0.785000
1.171951,0.105184,0.000000,-1.580019,0.000000,2.034295,0.785000
1.278492,0.186110,0.000000,-1.509475,0.000000,2.076413,0.785000
1.385033,0.267036,0.000000,-1.438931,0.000000,2.118530,0.785000
1.491574,0.347962,0.000000,-1.368387,0.000000,2.160648,0.785000
1.598115,0.428888,0.000000,-1.297843,0.000000,2.202766,0.785000
1.704657,0.509814,0.000000,-1.227300,0.000000,2.244883,0.785000
1.811198,0.590739,0.000000,-1.156756,0.000000,2.287001,0.785000
1.917739,0.671665,0.000000,-1.086212,0.000000,2.329119,0.785000
2.024280,0.752591,0.000000,-1.015668,0.000000,2.371237,0.785000
2.130821,0.833517,0.000000,-0.945125,0.000000,2.413354,0.785000
2.141780,0.841841,0.000000,-0.937868,0.000000,2.417687,0.785000
2.152739,0.850165,0.000000,-0.930612,0.000000,2.422019,0.785000
2.163698,0.858489,0.000000,-0.923356,0.000000,2.426351,0.785000
2.174656,0.866814,0.000000,-0.916100,0.000000,2.430683,0.785000
2.185615,0.875138,0.000000,-0.908844,0.000000,2.435016,0.785000
2.196574,0.883462,0.000000,-0.901587,0.000000,2.439348,0.785000
2.207533,0.891786,0.000000,-0.894331,0.000000,2.443680,0.785000
2.218492,0.900110,0.000000,-0.887075,0.000000,2.448013,0.785000
2.229451,0.908434,0.000000,-0.879819,0.000000,2.452345,0.785000
2.240410,0.916759,0.000000,-0.872562,0.000000,2.456677,0.785000
2.251369,0.925083,0.000000,-0.865306,0.000000,2.461009,0.785000
2.262328,0.933407,0.000000,-0.858050,0.000000,2.465342,0.785000
2.273287,0.941731,0.000000,-0.850794,0.000000,2.469674,0.785000
2.284246,0.950055,0.000000,-0.843537,0.000000,2.474006,0.785000
2.295205,0.958379,0.000000,-0.836281,0.000000,2.478339,0.785000
2.306164,0.966703,0.000000,-0.829025,0.000000,2.482671,0.785000
2.317123,0.975028,0.000000,-0.821769,0.000000,2.487003,0.785000
2.328082,0.983352,0.000000,-0.814512,0.000000,2.491335,0.785000
2.339041,0.991676,0.000000,-0.807256,0.000000,2.495668,0.785000
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
