joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.057718,-0.757368,-0.049965,-2.253506,-0.046043,1.529541,0.724050
0.115437,-0.729735,-0.099931,-2.151012,-0.092086,1.488081,0.663099
0.173155,-0.702103,-0.149896,-2.048518,-0.138129,1.446622,0.602149
0.230873,-0.674471,-0.199861,-1.946023,-0.184172,1.405162,0.541199
0.288591,-0.646839,-0.249826,-1.843529,-0.230215,1.363703,0.480248
0.346310,-0.619206,-0.299792,-1.741035,-0.276258,1.322244,0.419298
0.404028,-0.591574,-0.349757,-1.638541,-0.322301,1.280784,0.358347
0.461746,-0.563942,-0.399722,-1.536047,-0.368344,1.239325,0.297397
0.519465,-0.536309,-0.449688,-1.433553,-0.414387,1.197865,0.236447
0.577183,-0.508677,-0.499653,-1.331059,-0.460430,1.156406,0.175496
0.634901,-0.481045,-0.549618,-1.228564,-0.506473,1.114947,0.114546
0.692619,-0.453412,-0.599583,-1.126070,-0.552516,1.073487,0.053595
0.750338,-0.425780,-0.649549,-1.023576,-0.598559,1.032028,-0.007355
0.808056,-0.398148,-0.699514,-0.921082,-0.644602,0.990568,-0.068305
0.865774,-0.370516,-0.749479,-0.818588,-0.690645,0.949109,-0.129256
0.923493,-0.342883,-0.799445,-0.716094,-0.736688,0.907650,-0.190206
0.981211,-0.315251,-0.849410,-0.613600,-0.782731,0.866190,-0.251156
1.038929,-0.287619,-0.899375,-0.511105,-0.828774,0.824731,-0.312107
1.096647,-0.259986,-0.949340,-0.408611,-0.874817,0.783271,-0.373057
1.154366,-0.232354,-0.999306,-0.306117,-0.920859,0.741812,-0.434008
1.214147,-0.170736,-0.949340,-0.330811,-0.874817,0.829721,-0.373057
1.273929,-0.109119,-0.899375,-0.355505,-0.828774,0.917631,-0.312107
1.333711,-0.047501,-0.849410,-0.380200,-0.782731,1.005540,-0.251156
1.393492,0.014117,-0.799445,-0.404894,-0.736688,1.093450,-0.190206
1.453274,0.075734,-0.749479,-0.429588,-0.690645,1.181359,-0.129256
1.513056,0.137352,-0.699514,-0.454282,-0.644602,1.269268,-0.068305
1.572838,0.198970,-0.649549,-0.478976,-0.598559,1.357178,-0.007355
1.632619,0.260588,-0.599583,-0.503670,-0.552516,1.445087,0.053595
1.692401,0.322205,-0.549618,-0.528364,-0.506473,1.532997,0.114546
1.752183,0.383823,-0.499653,-0.553059,-0.460430,1.620906,0.175496
1.811964,0.445441,-0.449688,-0.577753,-0.414387,1.708815,0.236447
1.871746,0.507058,-0.399722,-0.602447,-0.368344,1.796725,0.297397
1.931528,0.568676,-0.349757,-0.627141,-0.322301,1.884634,0.358347
1.991310,0.630294,-0.299792,-0.651835,-0.276258,1.972544,0.419298
2.051091,0.691911,-0.249826,-0.676529,-0.230215,2.060453,0.480248
2.110873,0.753529,-0.199861,-0.701223,-0.184172,2.148362,0.541199
2.170655,0.815147,-0.149896,-0.725918,-0.138129,2.236272,0.602149
2.230436,0.876765,-0.099931,-0.750612,-0.092086,2.324181,0.663099
2.290218,0.938382,-0.049965,-0.775306,-0.046043,2.412091,0.724050
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
