joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.051137,-0.710129,-0.044498,-2.345538,-0.026438,1.541933,0.790145
0.102274,-0.635257,-0.088997,-2.335076,-0.052876,1.512867,0.795290
0.153411,-0.560386,-0.133495,-2.324614,-0.079314,1.483800,0.800435
0.204548,-0.485515,-0.177993,-2.314152,-0.105752,1.454733,0.805580
0.255685,-0.410644,-0.222492,-2.303691,-0.132190,1.425667,0.810725
0.306822,-0.335772,-0.266990,-2.293229,-0.158629,1.396600,0.815870
0.357959,-0.260901,-0.311489,-2.282767,-0.185067,1.367533,0.821015
0.409096,-0.186030,-0.355987,-2.272305,-0.211505,1.338467,0.826160
0.460233,-0.111159,-0.400485,-2.261843,-0.237943,1.309400,0.831305
0.511370,-0.036287,-0.444984,-2.251381,-0.264381,1.280333,0.836450
0.562507,0.038584,-0.489482,-2.240919,-0.290819,1.251267,0.841595
0.613644,0.113455,-0.533980,-2.230457,-0.317257,1.222200,0.846740
0.664781,0.188327,-0.578479,-2.219995,-0.343695,1.193133,0.851885
0.715918,0.263198,-0.622977,-2.209534,-0.370133,1.164067,0.857030
0.767055,0.338069,-0.667475,-2.199072,-0.396571,1.135000,0.862175
0.818192,0.412940,-0.711974,-2.188610,-0.423010,1.105933,0.867320
0.869329,0.487812,-0.756472,-2.178148,-0.449448,1.076867,0.872465
0.920466,0.562683,-0.800971,-2.167686,-0.475886,1.047800,0.877610
0.971603,0.637554,-0.845469,-2.157224,-0.502324,1.018733,0.882755
1.022740,0.712425,-0.889967,-2.146762,-0.528762,0.989667,0.887900
1.089103,0.726804,-0.845469,-2.079424,-0.502324,1.065183,0.882755
1.155466,0.741183,-0.800971,-2.012086,-0.475886,1.140700,0.877610
1.221829,0.755562,-0.756472,-1.944748,-0.449448,1.216217,0.872465
1.288192,0.769940,-0.711974,-1.877410,-0.423010,1.291733,0.867320
1.354555,0.784319,-0.667475,-1.810072,-0.396571,1.367250,0.862175
1.420918,0.798698,-0.622977,-1.742734,-0.370133,1.442767,0.857030
1.487281,0.813077,-0.578479,-1.675395,-0.343695,1.518283,0.851885
1.553644,0.827455,-0.533980,-1.608057,-0.317257,1.593800,0.846740
1.620007,0.841834,-0.489482,-1.540719,-0.290819,1.669317,0.841595
1.686370,0.856213,-0.444984,-1.473381,-0.264381,1.744833,0.836450
1.752733,0.870591,-0.400485,-1.406043,-0.237943,1.820350,0.831305
1.819096,0.884970,-0.355987,-1.338705,-0.211505,1.895867,0.826160
1.885459,0.899349,-0.311489,-1.271367,-0.185067,1.971383,0.821015
1.951822,0.913728,-0.266990,-1.204029,-0.158629,2.046900,0.815870
2.018185,0.928106,-0.222492,-1.136691,-0.132190,2.122417,0.810725
2.084548,0.942485,-0.177993,-1.069352,-0.105752,2.197933,0.805580
2.150911,0.956864,-0.133495,-1.002014,-0.079314,2.273450,0.800435
2.217274,0.971243,-0.088997,-0.934676,-0.052876,2.348967,0.795290
2.283637,0.985621,-0.044498,-0.867338,-0.026438,2.424483,0.790145
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
