joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.042254,-0.754857,0.067033,-2.239919,0.023442,1.610403,0.677678
0.084508,-0.724713,0.134067,-2.123839,0.046884,1.649806,0.570357
0.126762,-0.694570,0.201100,-2.007758,0.070326,1.689208,0.463035
0.169017,-0.664426,0.268133,-1.891678,0.093768,1.728611,0.355714
0.211271,-0.634283,0.335167,-1.775597,0.117209,1.768014,0.248392
0.253525,-0.604140,0.402200,-1.659516,0.140651,1.807417,0.141071
0.295779,-0.573996,0.469233,-1.543436,0.164093,1.846819,0.033749
0.338033,-0.543853,0.536267,-1.427355,0.187535,1.886222,-0.073572
0.380287,-0.513709,0.603300,-1.311275,0.210977,1.925625,-0.180894
0.422541,-0.483566,0.670333,-1.195194,0.234419,1.965028,-0.288215
0.464796,-0.453423,0.737367,-1.079114,0.257861,2.004431,-0.395537
0.507050,-0.423279,0.804400,-0.963033,0.281303,2.043833,-0.502859
0.549304,-0.393136,0.871433,-0.846952,0.304744,2.083236,-0.610180
0.591558,-0.362992,0.938467,-0.730872,0.328186,2.122639,-0.717502
0.633812,-0.332849,1.005500,-0.614791,0.351628,2.162042,-0.824823
0.676066,-0.302706,1.072534,-0.498711,0.375070,2.201444,-0.932145
0.718320,-0.272562,1.139567,-0.382630,0.398512,2.240847,-1.039466
0.760575,-0.242419,1.206600,-0.266550,0.421954,2.280250,-1.146788
0.802829,-0.212275,1.273634,-0.150469,0.445396,2.319653,-1.254109
0.845083,-0.182132,1.340667,-0.034388,0.468838,2.359056,-1.361431
0.920329,-0.123025,1.273634,-0.072669,0.445396,2.366103,-1.254109
0.995575,-0.063919,1.206600,-0.110950,0.421954,2.373150,-1.146788
1.070820,-0.004812,1.139567,-0.149230,0.398512,2.380197,-1.039466
1.146066,0.054294,1.072534,-0.187511,0.375070,2.387244,-0.932145
1.221312,0.113401,1.005500,-0.225791,0.351628,2.394292,-0.824823
1.296558,0.172508,0.938467,-0.264072,0.328186,2.401339,-0.717502
1.371804,0.231614,0.871433,-0.302352,0.304744,2.408386,-0.610180
1.447050,0.290721,0.804400,-0.340633,0.281303,2.415433,-0.502859
1.522296,0.349827,0.737367,-0.378914,0.257861,2.422481,-0.395537
1.597541,0.408934,0.670333,-0.417194,0.234419,2.429528,-0.288215
1.672787,0.468041,0.603300,-0.455475,0.210977,2.436575,-0.180894
1.748033,0.527147,0.536267,-0.493755,0.187535,2.443622,-0.073572
1.823279,0.586254,0.469233,-0.532036,0.164093,2.450669,0.033749
1.898525,0.645360,0.402200,-0.570317,0.140651,2.457717,0.141071
1.973771,0.704467,0.335167,-0.608597,0.117209,2.464764,0.248392
2.049016,0.763574,0.268133,-0.646878,0.093768,2.471811,0.355714
2.124262,0.822680,0.201100,-0.685158,0.070326,2.478858,0.463035
2.199508,0.881787,0.134067,-0.723439,0.046884,2.485906,0.570357
2.274754,0.940893,0.067033,-0.761719,0.023442,2.492953,0.677678
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
