joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.038646,-0.668544,-0.007723,-2.294832,0.082672,1.561529,0.859748
0.077291,-0.552088,-0.015445,-2.233665,0.165344,1.552058,0.934495
0.115937,-0.435632,-0.023168,-2.172497,0.248016,1.542587,1.009243
0.154582,-0.319176,-0.030890,-2.111330,0.330688,1.533116,1.083991
0.193228,-0.202720,-0.038613,-2.050162,0.413360,1.523645,1.158738
0.231873,-0.086265,-0.046335,-1.988995,0.496033,1.514174,1.233486
0.270519,0.030191,-0.054058,-1.927827,0.578705,1.504703,1.308233
0.309165,0.146647,-0.061780,-1.866660,0.661377,1.495232,1.382981
0.347810,0.263103,-0.069503,-1.805492,0.744049,1.485761,1.457729
0.386456,0.379559,-0.077225,-1.744325,0.826721,1.476291,1.532476
0.425101,0.496015,-0.084948,-1.683157,0.909393,1.466820,1.607224
0.463747,0.612471,-0.092670,-1.621990,0.992065,1.457349,1.681972
0.502393,0.728927,-0.100393,-1.560822,1.074737,1.447878,1.756719
0.541038,0.845383,-0.108116,-1.499655,1.157409,1.438407,1.831467
0.579684,0.961839,-0.115838,-1.438487,1.240081,1.428936,1.906214
0.618329,1.078295,-0.123561,-1.377320,1.322753,1.419465,1.980962
0.656975,1.194750,-0.131283,-1.316152,1.405426,1.409994,2.055710
0.695620,1.311206,-0.139006,-1.254985,1.488098,1.400523,2.130457
0.734266,1.427662,-0.146728,-1.193817,1.570770,1.391052,2.205205
0.772912,1.544118,-0.154451,-1.132650,1.653442,1.381581,2.279953
0.851766,1.516912,-0.146728,-1.116017,1.570770,1.437502,2.205205
0.930620,1.489706,-0.139006,-1.099385,1.488098,1.493423,2.130457
1.009475,1.462500,-0.131283,-1.082752,1.405426,1.549344,2.055710
1.088329,1.435295,-0.123561,-1.066120,1.322753,1.605265,1.980962
1.167184,1.408089,-0.115838,-1.049487,1.240081,1.661186,1.906214
1.246038,1.380883,-0.108116,-1.032855,1.157409,1.717107,1.831467
1.324892,1.353677,-0.100393,-1.016222,1.074737,1.773028,1.756719
1.403747,1.326471,-0.092670,-0.999590,0.992065,1.828949,1.681972
1.482601,1.299265,-0.084948,-0.982957,0.909393,1.884870,1.607224
1.561456,1.272059,-0.077225,-0.966325,0.826721,1.940791,1.532476
1.640310,1.244853,-0.069503,-0.949692,0.744049,1.996711,1.457729
1.719165,1.217647,-0.061780,-0.933060,0.661377,2.052632,1.382981
1.798019,1.190441,-0.054058,-0.916427,0.578705,2.108553,1.308233
1.876873,1.163235,-0.046335,-0.899795,0.496033,2.164474,1.233486
1.955728,1.136030,-0.038613,-0.883162,0.413360,2.220395,1.158738
2.034582,1.108824,-0.030890,-0.866530,0.330688,2.276316,1.083991
2.113437,1.081618,-0.023168,-0.849897,0.248016,2.332237,1.009243
2.192291,1.054412,-0.015445,-0.833265,0.165344,2.388158,0.934495
2.271145,1.027206,-0.007723,-0.816633,0.082672,2.444079,0.859748
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
