joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.082899,-0.646464,-0.090727,-2.350202,0.116541,1.569878,0.836394
-0.165797,-0.507927,-0.181454,-2.344403,0.233081,1.568756,0.887787
-0.248696,-0.369391,-0.272181,-2.338605,0.349622,1.567635,0.939181
-0.331594,-0.230854,-0.362908,-2.332806,0.466162,1.566513,0.990574
-0.414493,-0.092318,-0.453635,-2.327008,0.582703,1.565391,1.041968
-0.497391,0.046218,-0.544362,-2.321209,0.699244,1.564269,1.093361
-0.580290,0.184755,-0.635089,-2.315411,0.815784,1.563148,1.144755
-0.663188,0.323291,-0.725816,-2.309613,0.932325,1.562026,1.196148
-0.746087,0.461828,-0.816543,-2.303814,1.048865,1.560904,1.247542
-0.828986,0.600364,-0.907270,-2.298016,1.165406,1.559782,1.298936
-0.911884,0.738900,-0.997997,-2.292217,1.281947,1.558660,1.350329
-0.994783,0.877437,-1.088724,-2.286419,1.398487,1.557539,1.401723
-1.077681,1.015973,-1.179451,-2.280620,1.515028,1.556417,1.453116
-1.160580,1.154510,-1.270178,-2.274822,1.631568,1.555295,1.504510
-1.243478,1.293046,-1.360905,-2.269024,1.748109,1.554173,1.555903
-1.326377,1.431583,-1.451632,-2.263225,1.864650,1.553052,1.607297
-1.409275,1.570119,-1.542359,-2.257427,1.981190,1.551930,1.658690
-1.492174,1.708655,-1.633086,-2.251628,2.097731,1.550808,1.710084
-1.575073,1.847192,-1.723813,-2.245830,2.214271,1.549686,1.761478
-1.657971,1.985728,-1.814540,-2.240031,2.330812,1.548564,1.812871
-1.692688,1.943538,-1.692990,-2.193951,2.233477,1.602393,1.844222
-1.727404,1.901347,-1.571439,-2.147870,2.136142,1.656223,1.875573
-1.762121,1.859156,-1.449889,-2.101789,2.038806,1.710052,1.906924
-1.796837,1.816966,-1.328339,-2.055708,1.941471,1.763881,1.938275
-1.831554,1.774775,-1.206789,-2.009628,1.844136,1.817710,1.969626
-1.866270,1.732584,-1.085238,-1.963547,1.746801,1.871539,2.000977
-1.900987,1.690394,-0.963688,-1.917466,1.649465,1.925368,2.032328
-1.935704,1.648203,-0.842138,-1.871386,1.552130,1.979197,2.063679
-1.970420,1.606012,-0.720587,-1.825305,1.454795,2.033026,2.095030
-2.005137,1.563822,-0.599037,-1.779224,1.357460,2.086855,2.126380
-2.039853,1.521631,-0.477487,-1.733143,1.260124,2.140684,2.157731
-2.074570,1.479441,-0.355936,-1.687063,1.162789,2.194513,2.189082
-2.109286,1.437250,-0.234386,-1.640982,1.065454,2.248342,2.220433
-2.144003,1.395059,-0.112836,-1.594901,0.968119,2.302171,2.251784
-2.178719,1.352869,0.008715,-1.548820,0.870784,2.356000,2.283135
-2.213436,1.310678,0.130265,-1.502740,0.773448,2.409829,2.314486
-2.248152,1.268487,0.251815,-1.456659,0.676113,2.463658,2.345837
-2.282869,1.226297,0.373365,-1.410578,0.578778,2.517487,2.377188
-2.317585,1.184106,0.494916,-1.364498,0.481443,2.571316,2.408539
-2.352302,1.141916,0.616466,-1.318417,0.384107,2.625145,2.439890
-2.356883,1.192421,0.541977,-1.214937,0.344368,2.569819,2.406713
-2.361464,1.242926,0.467489,-1.111457,0.304629,2.514493,2.373536
-2.366045,1.293432,0.393000,-1.007977,0.264890,2.459167,2.340359
-2.370625,1.343937,0.318511,-0.904497,0.225150,2.403841,2.307182
-2.375206,1.394443,0.244022,-0.801018,0.185411,2.348515,2.274005
-2.379787,1.444948,0.169534,-0.697538,0.145672,2.293189,2.240829
-2.384368,1.495453,0.095045,-0.594058,0.105933,2.237863,2.207652
-2.388949,1.545959,0.020556,-0.490578,0.066194,2.182537,2.174475
-2.393529,1.596464,-0.053932,-0.387098,0.026454,2.127211,2.141298
-2.398110,1.646970,-0.128421,-0.283618,-0.013285,2.071884,2.108121
-2.402691,1.697475,-0.202910,-0.180139,-0.053024,2.016558,2.074944
-2.407272,1.747980,-0.277399,-0.076659,-0.092763,1.961232,2.041767
-2.411853,1.798486,-0.351887,0.026821,-0.132502,1.905906,2.008591
-2.416434,1.848991,-0.426376,0.130301,-0.172242,1.850580,1.975414
-2.421014,1.899497,-0.500865,0.233781,-0.211981,1.795254,1.942237
-2.425595,1.950002,-0.575354,0.337261,-0.251720,1.739928,1.909060
-2.430176,2.000507,-0.649842,0.440741,-0.291459,1.684602,1.875883
-2.434757,2.051013,-0.724331,0.544220,-0.331199,1.629276,1.842706
-2.439338,2.101518,-0.798820,0.647700,-0.370938,1.573950,1.809529
-2.443919,2.152024,-0.873308,0.751180,-0.410677,1.518624,1.776353
-2.204223,2.094422,-0.829643,0.673621,-0.390143,1.567693,1.726785
-1.964527,2.036821,-0.785978,0.596062,-0.369609,1.616761,1.677217
-1.724831,1.979220,-0.742312,0.518503,-0.349075,1.665830,1.627650
-1.485135,1.921619,-0.698647,0.440944,-0.328542,1.714899,1.578082
-1.245439,1.864018,-0.654981,0.363385,-0.308008,1.763968,1.528514
-1.005743,1.806417,-0.611316,0.285826,-0.287474,1.813037,1.478947
-0.766047,1.748815,-0.567650,0.208267,-0.266940,1.862105,1.429379
-0.526351,1.691214,-0.523985,0.130708,-0.246406,1.911174,1.379812
-0.286655,1.633613,-0.480320,0.053149,-0.225872,1.960243,1.330244
-0.046959,1.576012,-0.436654,-0.024410,-0.205338,2.009312,1.280676
0.192737,1.518411,-0.392989,-0.101969,-0.184805,2.058381,1.231109
0.432433,1.460809,-0.349323,-0.179528,-0.164271,2.107449,1.181541
0.672128,1.403208,-0.305658,-0.257087,-0.143737,2.156518,1.131973
0.911824,1.345607,-0.261993,-0.334646,-0.123203,2.205587,1.082406
1.151520,1.288006,-0.218327,-0.412205,-0.102669,2.254656,1.032838
1.391216,1.230405,-0.174662,-0.489764,-0.082135,2.303725,0.983271
1.630912,1.172804,-0.130996,-0.567323,-0.061602,2.352794,0.933703
1.870608,1.115202,-0.087331,-0.644882,-0.041068,2.401862,0.884135
2.110304,1.057601,-0.043665,-0.722441,-0.020534,2.450931,0.834568
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
