joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.007949,-0.774758,0.020675,-2.354423,0.002609,1.567941,0.796862
-0.015898,-0.764516,0.041351,-2.352847,0.005218,1.564881,0.808723
-0.023847,-0.754273,0.062026,-2.351270,0.007827,1.561822,0.820585
-0.031796,-0.744031,0.082702,-2.349693,0.010436,1.558763,0.832447
-0.039745,-0.733789,0.103377,-2.348117,0.013046,1.555703,0.844309
-0.047694,-0.723546,0.124052,-2.346540,0.015655,1.552644,0.856170
-0.055643,-0.713304,0.144728,-2.344963,0.018264,1.549585,0.868032
-0.063592,-0.703062,0.165403,-2.343387,0.020873,1.546525,0.879894
-0.071541,-0.692820,0.186078,-2.341810,0.023482,1.543466,0.891756
-0.079490,-0.682577,0.206754,-2.340233,0.026091,1.540407,0.903617
-0.087440,-0.672335,0.227429,-2.338657,0.028700,1.537348,0.915479
-0.095389,-0.662093,0.248105,-2.337080,0.031309,1.534288,0.927341
-0.103338,-0.651851,0.268780,-2.335504,0.033918,1.531229,0.939203
-0.111287,-0.641608,0.289455,-2.333927,0.036527,1.528170,0.951064
-0.119236,-0.631366,0.310131,-2.332350,0.039137,1.525110,0.962926
-0.127185,-0.621124,0.330806,-2.330774,0.041746,1.522051,0.974788
-0.135134,-0.610882,0.351481,-2.329197,0.044355,1.518992,0.986649
-0.143083,-0.600639,0.372157,-2.327620,0.046964,1.515932,0.998511
-0.151032,-0.590397,0.392832,-2.326044,0.049573,1.512873,1.010373
-0.158981,-0.580155,0.413508,-2.324467,0.052182,1.509814,1.022235
-0.166329,-0.574050,0.404995,-2.303193,0.046544,1.500276,1.026217
-0.173677,-0.567946,0.396482,-2.281920,0.040905,1.490738,1.030199
-0.181026,-0.561841,0.387970,-2.260646,0.035267,1.481201,1.034181
-0.188374,-0.555737,0.379457,-2.239372,0.029628,1.471663,1.038164
-0.195722,-0.549632,0.370945,-2.218098,0.023990,1.462125,1.042146
-0.203070,-0.543528,0.362432,-2.196825,0.018351,1.452587,1.046128
-0.210418,-0.537423,0.353919,-2.175551,0.012713,1.443050,1.050110
-0.217767,-0.531319,0.345407,-2.154277,0.007074,1.433512,1.054093
-0.225115,-0.525214,0.336894,-2.133003,0.001436,1.423974,1.058075
-0.232463,-0.519110,0.328382,-2.111730,-0.004203,1.414437,1.062057
-0.239811,-0.513005,0.319869,-2.090456,-0.009841,1.404899,1.066039
-0.247159,-0.506901,0.311356,-2.069182,-0.015480,1.395361,1.070021
-0.254508,-0.500796,0.302844,-2.047909,-0.021118,1.385823,1.074004
-0.261856,-0.494692,0.294331,-2.026635,-0.026757,1.376286,1.077986
-0.269204,-0.488587,0.285819,-2.005361,-0.032395,1.366748,1.081968
-0.276552,-0.482483,0.277306,-1.984087,-0.038034,1.357210,1.085950
-0.283900,-0.476378,0.268793,-1.962814,-0.043672,1.347672,1.089933
-0.291249,-0.470274,0.260281,-1.941540,-0.049311,1.338135,1.093915
-0.298597,-0.464169,0.251768,-1.920266,-0.054949,1.328597,1.097897
-0.305945,-0.458065,0.243256,-1.898992,-0.060588,1.319059,1.101879
-0.284831,-0.446474,0.241322,-1.890256,-0.060106,1.328447,1.099360
-0.263718,-0.434883,0.239388,-1.881519,-0.059625,1.337835,1.096841
-0.242604,-0.423292,0.237454,-1.872783,-0.059143,1.347223,1.094322
-0.221490,-0.411701,0.235520,-1.864046,-0.058661,1.356611,1.091803
-0.200377,-0.400110,0.233587,-1.855310,-0.058180,1.365999,1.089284
-0.179263,-0.388519,0.231653,-1.846573,-0.057698,1.375387,1.086765
-0.158149,-0.376928,0.229719,-1.837837,-0.057216,1.384775,1.084246
-0.137036,-0.365337,0.227785,-1.829100,-0.056735,1.394163,1.081727
-0.115922,-0.353746,0.225852,-1.820364,-0.056253,1.403551,1.079208
-0.094808,-0.342155,0.223918,-1.811627,-0.055771,1.412939,1.076689
-0.073695,-0.330564,0.221984,-1.802891,-0.055290,1.422327,1.074170
-0.052581,-0.318973,0.220050,-1.794154,-0.054808,1.431715,1.071651
-0.031467,-0.307382,0.218116,-1.785418,-0.054326,1.441103,1.069132
-0.010354,-0.295791,0.216183,-1.776681,-0.053845,1.450491,1.066613
0.010760,-0.284200,0.214249,-1.767945,-0.053363,1.459879,1.064093
0.031873,-0.272609,0.212315,-1.759208,-0.052882,1.469267,1.061574
0.052987,-0.261018,0.210381,-1.750471,-0.052400,1.478655,1.059055
0.074101,-0.249427,0.208448,-1.741735,-0.051918,1.488043,1.056536
0.095214,-0.237836,0.206514,-1.732998,-0.051437,1.497431,1.054017
0.116328,-0.226245,0.204580,-1.724262,-0.050955,1.506819,1.051498
0.130954,-0.209497,0.201228,-1.713833,-0.046099,1.498240,1.058083
0.145579,-0.192750,0.197876,-1.703405,-0.041244,1.489661,1.064667
0.160205,-0.176002,0.194523,-1.692977,-0.036388,1.481081,1.071252
0.174831,-0.159255,0.191171,-1.682548,-0.031532,1.472502,1.077836
0.189456,-0.142507,0.187819,-1.672120,-0.026677,1.463923,1.084421
0.204082,-0.125760,0.184467,-1.661691,-0.021821,1.455344,1.091005
0.218708,-0.109012,0.181114,-1.651263,-0.016966,1.446764,1.097590
0.233334,-0.092265,0.177762,-1.640834,-0.012110,1.438185,1.104174
0.247959,-0.075517,0.174410,-1.630406,-0.007254,1.429606,1.110759
0.262585,-0.058769,0.171058,-1.619978,-0.002399,1.421027,1.117343
0.277211,-0.042022,0.167706,-1.609549,0.002457,1.412447,1.123928
0.291836,-0.025274,0.164353,-1.599121,0.007313,1.403868,1.130512
0.306462,-0.008527,0.161001,-1.588692,0.012168,1.395289,1.137097
0.321088,0.008221,0.157649,-1.578264,0.017024,1.386710,1.143681
0.335713,0.024968,0.154297,-1.567835,0.021880,1.378131,1.150266
0.350339,0.041716,0.150945,-1.557407,0.026735,1.369551,1.156850
0.364965,0.058463,0.147592,-1.546979,0.031591,1.360972,1.163435
0.379590,0.075211,0.144240,-1.536550,0.036446,1.352393,1.170019
0.394216,0.091958,0.140888,-1.526122,0.041302,1.343814,1.176604
0.408842,0.108706,0.137536,-1.515693,0.046158,1.335234,1.183188
0.429585,0.118230,0.136066,-1.508045,0.045664,1.347681,1.178933
0.450328,0.127754,0.134596,-1.500397,0.045171,1.360128,1.174678
0.471072,0.137279,0.133127,-1.492750,0.044678,1.372575,1.170423
0.491815,0.146803,0.131657,-1.485102,0.044185,1.385021,1.166168
