joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
0.003798,-0.661344,0.035029,-2.315020,0.062900,1.613118,0.811616
0.007595,-0.537688,0.070058,-2.274041,0.125799,1.655237,0.838231
0.011393,-0.414032,0.105087,-2.233061,0.188699,1.697355,0.864846
0.015190,-0.290376,0.140115,-2.192081,0.251599,1.739474,0.891462
0.018988,-0.166720,0.175144,-2.151102,0.314499,1.781592,0.918077
0.022785,-0.043064,0.210173,-2.110122,0.377398,1.823711,0.944693
0.026583,0.080592,0.245202,-2.069142,0.440298,1.865829,0.971308
0.030380,0.204248,0.280231,-2.028163,0.503198,1.907948,0.997924
0.034178,0.327904,0.315260,-1.987183,0.566098,1.950066,1.024539
0.037975,0.451560,0.350289,-1.946203,0.628997,1.992185,1.051155
0.041773,0.575216,0.385317,-1.905224,0.691897,2.034303,1.077770
0.045570,0.698872,0.420346,-1.864244,0.754797,2.076422,1.104386
0.049368,0.822528,0.455375,-1.823264,0.817697,2.118540,1.131001
0.053165,0.946184,0.490404,-1.782284,0.880596,2.160659,1.157617
0.056963,1.069840,0.525433,-1.741305,0.943496,2.202777,1.184232
0.060760,1.193496,0.560462,-1.700325,1.006396,2.244896,1.210848
0.064558,1.317152,0.595490,-1.659345,1.069296,2.287014,1.237463
0.068355,1.440808,0.630519,-1.618366,1.132195,2.329133,1.264079
0.072153,1.564464,0.665548,-1.577386,1.195095,2.371251,1.290694
0.075950,1.688120,0.700577,-1.536406,1.257995,2.413369,1.317310
0.189653,1.653714,0.665548,-1.499586,1.195095,2.417701,1.290694
0.303355,1.619308,0.630519,-1.462766,1.132195,2.422033,1.264079
0.417058,1.584902,0.595490,-1.425945,1.069296,2.426364,1.237463
0.530760,1.550496,0.560462,-1.389125,1.006396,2.430696,1.210848
0.644463,1.516090,0.525433,-1.352305,0.943496,2.435027,1.184232
0.758165,1.481684,0.490404,-1.315485,0.880596,2.439359,1.157617
0.871868,1.447278,0.455375,-1.278664,0.817697,2.443690,1.131001
0.985570,1.412872,0.420346,-1.241844,0.754797,2.448022,1.104386
1.099273,1.378466,0.385317,-1.205024,0.691897,2.452353,1.077770
1.212975,1.344060,0.350289,-1.168203,0.628997,2.456685,1.051155
1.326678,1.309654,0.315260,-1.131383,0.566098,2.461016,1.024539
1.440380,1.275248,0.280231,-1.094563,0.503198,2.465348,0.997924
1.554083,1.240842,0.245202,-1.057742,0.440298,2.469679,0.971308
1.667785,1.206436,0.210173,-1.020922,0.377398,2.474011,0.944693
1.781487,1.172030,0.175144,-0.984102,0.314499,2.478342,0.918077
1.895190,1.137624,0.140115,-0.947281,0.251599,2.482674,0.891462
2.008892,1.103218,0.105087,-0.910461,0.188699,2.487005,0.864846
2.122595,1.068812,0.070058,-0.873641,0.125799,2.491337,0.838231
2.236297,1.034406,0.035029,-0.836820,0.062900,2.495668,0.811616
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
