joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
0.000000,-0.785000,0.000000,-2.356000,0.000000,1.571000,0.785000
-0.115048,-0.715843,-0.026657,-2.203465,-0.028727,1.516820,0.713131
-0.230096,-0.646686,-0.053315,-2.050930,-0.057453,1.462639,0.641262
-0.345144,-0.577528,-0.079972,-1.898395,-0.086180,1.408459,0.569394
-0.460192,-0.508371,-0.106630,-1.745860,-0.114907,1.354279,0.497525
-0.575240,-0.439214,-0.133287,-1.593325,-0.143633,1.300099,0.425656
-0.690288,-0.370057,-0.159945,-1.440790,-0.172360,1.245918,0.353787
-0.805336,-0.300900,-0.186602,-1.288254,-0.201087,1.191738,0.281918
-0.920384,-0.231742,-0.213260,-1.135719,-0.229813,1.137558,0.210050
-1.035432,-0.162585,-0.239917,-0.983184,-0.258540,1.083378,0.138181
-1.150480,-0.093428,-0.266575,-0.830649,-0.287267,1.029197,0.066312
-1.265528,-0.024271,-0.293232,-0.678114,-0.315993,0.975017,-0.005557
-1.380577,0.044886,-0.319890,-0.525579,-0.344720,0.920837,-0.077426
-1.495625,0.114044,-0.346547,-0.373044,-0.373447,0.866657,-0.149294
-1.610673,0.183201,-0.373205,-0.220509,-0.402173,0.812476,-0.221163
-1.725721,0.252358,-0.399862,-0.067974,-0.430900,0.758296,-0.293032
-1.840769,0.321515,-0.426520,0.084561,-0.459627,0.704116,-0.364901
-1.955817,0.390672,-0.453177,0.237096,-0.488353,0.649936,-0.436770
-2.070865,0.459830,-0.479835,0.389631,-0.517080,0.595755,-0.508639
-2.185913,0.528987,-0.506492,0.542166,-0.545807,0.541575,-0.580507
-2.300961,0.598144,-0.533150,0.694702,-0.574533,0.487395,-0.652376
-2.225186,0.688668,-0.557114,0.552231,-0.461805,0.469462,-0.728773
-2.149411,0.779192,-0.581079,0.409761,-0.349076,0.451528,-0.805171
-2.073637,0.869717,-0.605044,0.267290,-0.236347,0.433595,-0.881568
-1.997862,0.960241,-0.629008,0.124820,-0.123619,0.415662,-0.957965
-1.922087,1.050765,-0.652973,-0.017650,-0.010890,0.397728,-1.034362
-1.846312,1.141289,-0.676938,-0.160121,0.101839,0.379795,-1.110759
-1.770537,1.231813,-0.700902,-0.302591,0.214567,0.361862,-1.187156
-1.694763,1.322337,-0.724867,-0.445062,0.327296,0.343928,-1.263554
-1.618988,1.412861,-0.748832,-0.587532,0.440025,0.325995,-1.339951
-1.543213,1.503386,-0.772796,-0.730002,0.552753,0.308062,-1.416348
-1.467438,1.593910,-0.796761,-0.872473,0.665482,0.290129,-1.492745
-1.391664,1.684434,-0.820726,-1.014943,0.778211,0.272195,-1.569142
-1.315889,1.774958,-0.844690,-1.157414,0.890939,0.254262,-1.645540
-1.240114,1.865482,-0.868655,-1.299884,1.003668,0.236329,-1.721937
-1.164339,1.956006,-0.892620,-1.442354,1.116397,0.218395,-1.798334
-1.088565,2.046531,-0.916584,-1.584825,1.229125,0.200462,-1.874731
-1.012790,2.137055,-0.940549,-1.727295,1.341854,0.182529,-1.951128
-0.937015,2.227579,-0.964514,-1.869765,1.454582,0.164595,-2.027526
-0.861240,2.318103,-0.988478,-2.012236,1.567311,0.146662,-2.103923
-0.785465,2.408627,-1.012443,-2.154706,1.680040,0.128729,-2.180320
-0.726458,2.216634,-1.015124,-2.140811,1.667585,0.257652,-2.093585
-0.667450,2.024641,-1.017805,-2.126916,1.655130,0.386576,-2.006849
-0.608442,1.832648,-1.020485,-2.113021,1.642676,0.515499,-1.920114
-0.549435,1.640655,-1.023166,-2.099126,1.630221,0.644422,-1.833379
-0.490427,1.448662,-1.025847,-2.085231,1.617766,0.773346,-1.746644
-0.431419,1.256669,-1.028528,-2.071336,1.605312,0.902269,-1.659908
-0.372412,1.064676,-1.031208,-2.057441,1.592857,1.031193,-1.573173
-0.313404,0.872683,-1.033889,-2.043546,1.580402,1.160116,-1.486438
-0.254396,0.680690,-1.036570,-2.029651,1.567947,1.289039,-1.399702
-0.195389,0.488697,-1.039251,-2.015756,1.555493,1.417963,-1.312967
-0.136381,0.296704,-1.041931,-2.001861,1.543038,1.546886,-1.226232
-0.077373,0.104711,-1.044612,-1.987966,1.530583,1.675810,-1.139497
-0.018366,-0.087282,-1.047293,-1.974071,1.518129,1.804733,-1.052761
0.040642,-0.279275,-1.049974,-1.960176,1.505674,1.933656,-0.966026
0.099650,-0.471268,-1.052654,-1.946281,1.493219,2.062580,-0.879291
0.158657,-0.663261,-1.055335,-1.932386,1.480765,2.191503,-0.792555
0.217665,-0.855254,-1.058016,-1.918491,1.468310,2.320427,-0.705820
0.276673,-1.047247,-1.060697,-1.904596,1.455855,2.449350,-0.619085
0.335680,-1.239240,-1.063377,-1.890701,1.443400,2.578274,-0.532350
0.394688,-1.431234,-1.066058,-1.876806,1.430946,2.707197,-0.445614
0.492454,-1.309672,-1.012755,-1.822966,1.359398,2.696837,-0.384084
0.590219,-1.188110,-0.959452,-1.769125,1.287851,2.686477,-0.322553
0.687985,-1.066548,-0.906149,-1.715285,1.216304,2.676117,-0.261022
0.785750,-0.944987,-0.852846,-1.661445,1.144757,2.665758,-0.199491
0.883516,-0.823425,-0.799544,-1.607605,1.073209,2.655398,-0.137961
0.981282,-0.701863,-0.746241,-1.553764,1.001662,2.645038,-0.076430
1.079047,-0.580302,-0.692938,-1.499924,0.930115,2.634678,-0.014899
1.176813,-0.458740,-0.639635,-1.446084,0.858567,2.624318,0.046631
1.274578,-0.337178,-0.586332,-1.392243,0.787020,2.613958,0.108162
1.372344,-0.215617,-0.533029,-1.338403,0.715473,2.603598,0.169693
1.470110,-0.094055,-0.479726,-1.284563,0.643926,2.593239,0.231224
1.567875,0.027507,-0.426423,-1.230722,0.572378,2.582879,0.292754
1.665641,0.149068,-0.373120,-1.176882,0.500831,2.572519,0.354285
1.763406,0.270630,-0.319817,-1.123042,0.429284,2.562159,0.415816
1.861172,0.392192,-0.266515,-1.069202,0.357736,2.551799,0.477346
1.958938,0.513753,-0.213212,-1.015361,0.286189,2.541439,0.538877
2.056703,0.635315,-0.159909,-0.961521,0.214642,2.531080,0.600408
2.154469,0.756877,-0.106606,-0.907681,0.143095,2.520720,0.661939
2.252234,0.878438,-0.053303,-0.853840,0.071547,2.510360,0.723469
2.350000,1.000000,0.000000,-0.800000,0.000000,2.500000,0.785000
